Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.14446843,0.25148121,0.25517551,0.13468058,0.00701247,0.48571429,0.04444444,0.03030303,0.58350403,0.39562373,0.54263028,0.49657793,0.55408845,0.36421796,0.52484504,0.43485253,0.51449198,0.54048887,0.42063759,0.12946052,0.57444487,0.12879682,0.29915625,0.22748003,0.32185231,0.57508106,0.49904544,0.42530729,-1,-1,-1,-1
0.15515039,0.14149775,0.26602825,0.15334895,0.00729126,0.48571429,0.04444444,0.06060606,0.57392270,0.40405823,0.53323039,0.48018216,0.56292520,0.37481377,0.51994216,0.41989077,0.52172045,0.54140144,0.40625453,0.13278487,0.55586376,0.13789215,0.29326700,0.23219968,0.30307168,0.55538541,0.53120699,0.45408152,-1,-1,-1,-1
0.04139241,0.02893948,0.11542890,0.02526290,0.00661662,0.48571429,0.04444444,0.03030303,0.54052024,0.39385174,0.50718452,0.43516521,0.54942602,0.37517047,0.47600977,0.38661803,0.54033889,0.54725729,0.37609797,0.15743699,0.51952539,0.18077577,0.29187543,0.24312421,0.31002269,0.53331125,0.53642304,0.46670366,-1,-1,-1,-1
0.10084678,0.08214216,0.25357783,0.01898299,0.00543126,0.48571429,0.02222222,0.03030303,0.47737542,0.38181889,0.47521386,0.38207344,0.49710176,0.34426643,0.43127370,0.33474040,0.58378359,0.56201193,0.32463116,0.16142015,0.46589960,0.20146555,0.26669537,0.23474060,0.28981345,0.50223633,0.54632415,0.48467990,-1,-1,-1,-1
0.14993693,0.08862129,0.35890862,0.03392681,0.00614607,0.47619048,0.00000000,0.00000000,0.42148735,0.37798362,0.44867533,0.34553489,0.45048791,0.31813609,0.39629458,0.29493660,0.60427786,0.57071121,0.27146475,0.14945197,0.41051640,0.19807882,0.22305854,0.23924647,0.27931469,0.46869429,0.56412336,0.50629636,-1,-1,-1,-1
0.16926397,0.09893287,0.36531170,0.06296580,0.00576431,0.47619048,0.00000000,0.00000000,0.38853023,0.39547214,0.41671162,0.30643297,0.41663040,0.31209264,0.38177689,0.29362433,0.63742823,0.59604085,0.21120238,0.14183629,0.35234884,0.19934284,0.17801571,0.24340699,0.29500534,0.45672437,0.53873637,0.51548369,-1,-1,-1,-1
0.20883700,0.05045442,0.45200778,0.06298158,0.00652933,0.47619048,0.00000000,0.00000000,0.36127288,0.35890025,0.37855227,0.27141774,0.39396639,0.28078645,0.36057942,0.26744866,0.63341212,0.58263955,0.16462704,0.14559498,0.30530024,0.20100328,0.14991544,0.22974569,0.31675107,0.46139516,0.49885068,0.49875540,-1,-1,-1,-1
0.15201647,0.06627346,0.30680396,0.07784059,0.00902844,0.47619048,0.00000000,0.00000000,0.39852204,0.34503152,0.38954751,0.29300526,0.43351933,0.25808457,0.40237029,0.28605411,0.62255719,0.56695296,0.17232531,0.15679540,0.31764593,0.21054713,0.16493115,0.22315253,0.30666192,0.46789678,0.50641578,0.52430964,-1,-1,-1,-1
0.12920804,0.06426751,0.19300440,0.10280910,0.01184069,0.48571429,0.02222222,0.03030303,0.43991624,0.35033242,0.39662723,0.30956112,0.47993884,0.28778824,0.42381910,0.32476938,0.59425563,0.53414298,0.18487212,0.16353129,0.33090707,0.21087432,0.17647049,0.22610705,0.31326584,0.48036774,0.49936778,0.52202983,-1,-1,-1,-1
0.12090720,0.04962531,0.15345338,0.09882368,0.00929140,0.48571429,0.04444444,0.03030303,0.47467222,0.37184011,0.41301429,0.32432703,0.50234766,0.31466699,0.45975472,0.36292213,0.58088587,0.52472854,0.20616478,0.17744478,0.35537344,0.21661012,0.20538626,0.20280693,0.31733106,0.50001761,0.49096774,0.51860018,-1,-1,-1,-1
0.09317385,0.01708233,0.04735685,0.13412680,0.00977086,0.49523810,0.06666667,0.03030303,0.52792341,0.40344465,0.47139460,0.37713231,0.57220026,0.36599484,0.51115129,0.41403553,0.57860938,0.52012178,0.26393760,0.19001080,0.40696043,0.24304855,0.25890723,0.19600420,0.28253911,0.51454823,0.53307849,0.53579095,-1,-1,-1,-1
0.09728635,0.00693730,0.05232016,0.13866402,0.00951448,0.49523810,0.08888889,0.00000000,0.53572364,0.42777610,0.49618002,0.38922093,0.57172551,0.38490520,0.51889806,0.42430762,0.59181844,0.53795937,0.30511487,0.18098799,0.44505682,0.24292659,0.28413252,0.19572156,0.23860364,0.55388488,0.52917330,0.50541670,-1,-1,-1,-1
0.09428206,0.01271208,0.11133003,0.10292621,0.01500589,0.49523810,0.06666667,0.03030303,0.49882716,0.45469659,0.50666711,0.39338928,0.52193876,0.41081178,0.51660546,0.41214837,0.60227908,0.54790936,0.31112493,0.15937864,0.43844095,0.23041249,0.27490680,0.18810159,0.24591290,0.55561328,0.49035649,0.45337550,-1,-1,-1,-1
0.08454451,0.01569555,0.12550275,0.08749173,0.02211339,0.48571429,0.04444444,0.03030303,0.46440925,0.42259241,0.49461082,0.38358537,0.49185902,0.38297675,0.51076758,0.38977139,0.59829961,0.56462848,0.31719974,0.14841749,0.43630937,0.23324602,0.27429114,0.18371867,0.24435312,0.55926162,0.47617770,0.41691094,-1,-1,-1,-1
0.10159258,0.03495678,0.17350566,0.09623306,0.02351440,0.48571429,0.02222222,0.03030303,0.46492653,0.42984006,0.51990558,0.41368415,0.51254316,0.41447550,0.53268806,0.39574876,0.61099557,0.56917915,0.34377618,0.18159807,0.46169366,0.28343008,0.31426832,0.20696095,0.23232260,0.60654761,0.50182867,0.47091667,-1,-1,-1,-1
0.08736930,0.06522520,0.16197231,0.07763224,0.02211836,0.47619048,0.00000000,0.00000000,0.45216084,0.42130533,0.49732507,0.40203855,0.50202823,0.42187869,0.52056459,0.37458594,0.60488327,0.56715906,0.33032562,0.19091000,0.44423193,0.29141299,0.30692916,0.21868334,0.24056466,0.64368888,0.48346257,0.48879836,-1,-1,-1,-1
