Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.00000000,0.00546862,0.00167746,0.00414125,0.01677207,0.43333333,0.00000000,0.00000000,0.47218307,0.29989624,0.52393746,0.56456530,0.55516663,0.38019659,0.51613449,0.37582671,0.50035254,0.45111977,0.09534032,0.34467923,0.13676544,0.28141769,0.16853963,0.53935054,0.36643743,0.55342605,0.47497847,0.40067615,-1,-1,-1,-1
0.01259199,0.01324719,0.02212628,0.01341895,0.02696794,0.43333333,0.00000000,0.00000000,0.47303880,0.35005192,0.53765543,0.57058321,0.59973573,0.40060117,0.49917204,0.42812620,0.55884012,0.50875233,0.12404545,0.34105749,0.17294532,0.29688057,0.20075876,0.52095251,0.41431928,0.54114527,0.49704508,0.39053188,-1,-1,-1,-1
0.04165995,0.02997477,0.02484099,0.05204792,0.01559903,0.43333333,0.00000000,0.00000000,0.38377604,0.28551291,0.48604685,0.51935043,0.50886780,0.32270385,0.43457133,0.37831149,0.52277415,0.48288263,0.12174654,0.25441558,0.16721385,0.22780159,0.15888921,0.48128895,0.39373265,0.57366473,0.43885684,0.37192633,-1,-1,-1,-1
0.04333000,0.02749076,0.00851211,0.06156322,0.00535106,0.44444444,0.02000000,0.04347826,0.42953597,0.33982295,0.53679765,0.56143716,0.55448844,0.37944770,0.48729760,0.43362552,0.58751696,0.51888906,0.12523944,0.24573509,0.18029081,0.25910757,0.16079374,0.52008483,0.37376345,0.59722948,0.47939328,0.42472724,-1,-1,-1,-1
0.01650283,0.01239829,0.01392444,0.02675144,0.00417784,0.45555556,0.02000000,0.04347826,0.38745801,0.32328288,0.55816638,0.57318670,0.49180157,0.39140497,0.50861929,0.39357920,0.57490670,0.48402277,0.07882577,0.22469482,0.11084339,0.23963985,0.09581215,0.57077856,0.27889216,0.61066973,0.47116489,0.41167450,-1,-1,-1,-1
0.02888330,0.03081287,0.04166264,0.03575971,0.00257972,0.45555556,0.02000000,0.04347826,0.42465335,0.39249294,0.60722911,0.60822213,0.55036155,0.49071660,0.55560488,0.42423434,0.67240902,0.57450762,0.07359826,0.30935135,0.10815997,0.29207002,0.10947468,0.66760529,0.27143869,0.59897406,0.50046493,0.40850114,-1,-1,-1,-1
0.04886025,0.00109939,0.08276029,0.04507513,0.00093444,0.44444444,0.02000000,0.04347826,0.34022157,0.33158621,0.54561643,0.56131561,0.49724283,0.47739737,0.49714624,0.37859968,0.62344721,0.56107415,0.10562905,0.31165412,0.13247497,0.28672475,0.13190756,0.65893483,0.24098990,0.56905679,0.47721396,0.36929005,-1,-1,-1,-1
0.05009437,0.00293501,0.08292440,0.04681471,0.00360988,0.44444444,0.02000000,0.04347826,0.38168595,0.32094454,0.50497895,0.53543041,0.53168325,0.49345102,0.48078064,0.40441280,0.61355291,0.56726897,0.18585812,0.34253739,0.23402049,0.31384127,0.20890327,0.66213864,0.32712783,0.56153436,0.42405145,0.35474019,-1,-1,-1,-1
0.04264410,0.01401645,0.07132447,0.03975423,0.00656217,0.44444444,0.04000000,0.00000000,0.46060945,0.34727428,0.52843332,0.56751234,0.58906294,0.52043136,0.51221566,0.45482872,0.59619690,0.51450380,0.28253286,0.36527172,0.34503607,0.33296996,0.31116325,0.59061823,0.32032461,0.55736586,0.42905901,0.35296150,-1,-1,-1,-1
0.02987632,0.00496081,0.07074751,0.01501378,0.00411339,0.45555556,0.04000000,0.00000000,0.52223098,0.41908733,0.57956253,0.61104398,0.61790219,0.56859990,0.57414820,0.48495522,0.63894620,0.51059522,0.29059461,0.41543046,0.36026813,0.35465490,0.35572597,0.53570815,0.27907937,0.54901078,0.44072742,0.34870855,-1,-1,-1,-1
