,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,availability_60,availability_90,availability_365,number_of_reviews_ltm,reviews_per_month
33262,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,20-40,Comun,Común,Poco disponible,Disponible,Poco disponible
33263,Mala,Mala,Poco disponible,Poco disponible,Abundante,Disponible,123-142,Abundante,Poco disponible,Escaso,Disponible,Poco disponible
33264,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Frecuente,Raro,Escaso,Disponible,Escaso
33265,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,0-19,Comun,Común,Escaso,Disponible,Escaso
33266,Mala,Mala,Disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Raro,Raro,Escaso,Disponible,Escaso
33267,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Escaso,Escaso,Disponible,Disponible,Escaso
33268,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,0-19,Comun,Común,Raro,Disponible,Escaso
33269,Mala,Mala,Disponible,Poco disponible,Poco disponible,Abundante,20-40,Comun,Común,Frecuente,Disponible,Escaso
33270,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,20-40,Poco disponible,Escaso,Abundante,Disponible,Escaso
33271,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,0-19,Comun,Común,Escaso,Disponible,Poco disponible
33272,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,41-60,Comun,Común,Abundante,Poco disponible,Poco disponible
33273,Mala,Buena,Disponible,Escaso,Abundante,Abundante,102-122,Comun,Común,Raro,Disponible,Poco disponible
33274,Mala,Mala,Frecuente,Abundante,Poco disponible,Poco disponible,20-40,Comun,Común,Poco disponible,Poco disponible,Poco disponible
33275,Mala,Mala,Disponible,Poco disponible,Abundante,Disponible,20-40,Comun,Común,Raro,Disponible,Poco disponible
33276,Mala,Mala,Disponible,Escaso,Escaso,Poco disponible,20-40,Comun,Común,Poco disponible,Disponible,Poco disponible
33277,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,0-19,Frecuente,Raro,Escaso,Disponible,Poco disponible
33278,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Comun,Común,Común,Disponible,Poco disponible
33279,Mala,Mala,Poco disponible,Abundante,Poco disponible,Normal,61-81,Comun,Común,Raro,Disponible,Poco disponible
33280,Mala,Mala,Disponible,Poco disponible,Disponible,Disponible,20-40,Comun,Raro,Frecuente,Disponible,Poco disponible
33281,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Común,Abundante,Poco disponible
33282,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Frecuente,Escaso,Abundante,Disponible,Poco disponible
33283,Mala,Mala,Disponible,Abundante,Abundante,Abundante,61-81,Raro,Raro,Frecuente,Disponible,Escaso
33284,Mala,Mala,Abundante,Disponible,Poco disponible,Disponible,0-19,Disponible,Disponible,Disponible,Disponible,Escaso
33285,Mala,Mala,Poco disponible,Frecuente,Abundante,Escaso,102-122,Frecuente,Raro,Frecuente,Disponible,Escaso
33286,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Común,Disponible,Abundante
