,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,availability_60,availability_90,availability_365,number_of_reviews_ltm,reviews_per_month
0,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,41-60,Escaso,Escaso,Raro,Raro,Escaso
1,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Comun,Raro,Frecuente,Raro,Abundante
2,Mala,Buena,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Escaso,Escaso,Raro,Disponible,Disponible
3,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Poco disponible,Poco disponible,Poco disponible,Poco disponible,Frecuente
4,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,41-60,Raro,Raro,Común,Frecuente,Raro
5,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,20-40,Comun,Raro,Escaso,Frecuente,Poco disponible
6,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,20-40,Raro,Raro,Abundante,Abundante,Poco disponible
7,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,61-81,Disponible,Abundante,Raro,Poco disponible,Poco disponible
8,Mala,Mala,Abundante,Abundante,Poco disponible,Disponible,20-40,Comun,Raro,Frecuente,Abundante,Disponible
9,Mala,Mala,Abundante,Abundante,Poco disponible,Disponible,61-81,Disponible,Disponible,Abundante,Disponible,Disponible
10,Mala,Mala,Abundante,Abundante,Abundante,Escaso,164-183,Raro,Raro,Común,Escaso,Disponible
11,Mala,Mala,Disponible,Abundante,Poco disponible,Escaso,20-40,Escaso,Frecuente,Poco disponible,Frecuente,Poco disponible
12,Mala,Mala,Escaso,Frecuente,Abundante,Escaso,102-122,Raro,Raro,Común,Poco disponible,Poco disponible
13,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Frecuente,Escaso,Frecuente,Raro,Poco disponible
14,Mala,Mala,Escaso,Abundante,Poco disponible,Poco disponible,20-40,Frecuente,Raro,Común,Escaso,Poco disponible
15,Mala,Mala,Disponible,Abundante,Escaso,Poco disponible,61-81,Disponible,Disponible,Abundante,Disponible,Poco disponible
16,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,61-81,Comun,Común,Poco disponible,Frecuente,Poco disponible
17,Mala,Mala,Raro,Abundante,Poco disponible,Poco disponible,61-81,Comun,Común,Común,Disponible,Disponible
18,Mala,Mala,Raro,Poco disponible,Poco disponible,Disponible,20-40,Frecuente,Raro,Escaso,Poco disponible,Escaso
19,Mala,Mala,Poco disponible,Abundante,Abundante,Poco disponible,123-142,Comun,Raro,Común,Raro,Poco disponible
20,Mala,Buena,Poco disponible,Abundante,Poco disponible,Poco disponible,61-81,Comun,Común,Común,Disponible,Disponible
21,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Raro,Frecuente,Abundante,Frecuente,Abundante
22,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Abundante,20-40,Disponible,Disponible,Disponible,Disponible,Disponible
23,Mala,Mala,Disponible,Escaso,Abundante,Escaso,123-142,Disponible,Disponible,Poco disponible,Disponible,Disponible
24,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,41-60,Escaso,Frecuente,Frecuente,Raro,Abundante
25,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,41-60,Disponible,Disponible,Escaso,Disponible,Disponible
26,Mala,Mala,Disponible,Poco disponible,Poco disponible,Poco disponible,41-60,Disponible,Disponible,Poco disponible,Poco disponible,Disponible
27,Mala,Mala,Disponible,Escaso,Abundante,Escaso,82-101,Poco disponible,Abundante,Abundante,Poco disponible,Disponible
28,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Abundante,Raro,Poco disponible
29,Mala,Mala,Raro,Escaso,Abundante,Abundante,143-163,Raro,Escaso,Disponible,Abundante,Disponible
30,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,41-60,Comun,Común,Común,Disponible,Disponible
31,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Abundante,Abundante,Raro,Poco disponible,Escaso
32,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,20-40,Abundante,Escaso,Raro,Poco disponible,Escaso
33,Mala,Mala,Abundante,Poco disponible,Poco disponible,Poco disponible,20-40,Comun,Común,Raro,Poco disponible,Disponible
34,Mala,Mala,Abundante,Escaso,Abundante,Normal,61-81,Escaso,Frecuente,Frecuente,Poco disponible,Poco disponible
35,Mala,Mala,Disponible,Escaso,Escaso,Abundante,61-81,Comun,Común,Común,Disponible,Poco disponible
36,Mala,Buena,Abundante,Disponible,Poco disponible,Disponible,0-19,Disponible,Disponible,Abundante,Disponible,Disponible
37,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Raro,Abundante,Disponible
38,Mala,Mala,Abundante,Escaso,Abundante,Normal,61-81,Frecuente,Frecuente,Abundante,Poco disponible,Poco disponible
39,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,143-163,Comun,Común,Común,Frecuente,Poco disponible
40,Mala,Mala,Abundante,Poco disponible,Poco disponible,Poco disponible,20-40,Escaso,Escaso,Frecuente,Escaso,Abundante
41,Mala,Mala,Disponible,Escaso,Abundante,Normal,102-122,Disponible,Disponible,Poco disponible,Disponible,Disponible
42,Mala,Buena,Abundante,Disponible,Poco disponible,Disponible,0-19,Disponible,Disponible,Abundante,Disponible,Disponible
43,Mala,Mala,Disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Disponible,Disponible,Disponible,Disponible,Disponible
44,Mala,Mala,Escaso,Poco disponible,Poco disponible,Disponible,20-40,Escaso,Frecuente,Poco disponible,Escaso,Disponible
45,Mala,Mala,Frecuente,Poco disponible,Abundante,Disponible,41-60,Disponible,Abundante,Raro,Disponible,Disponible
46,Mala,Mala,Abundante,Abundante,Poco disponible,Poco disponible,41-60,Disponible,Disponible,Disponible,Poco disponible,Poco disponible
47,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Escaso,20-40,Comun,Común,Común,Disponible,Disponible
48,Mala,Mala,Escaso,Abundante,Poco disponible,Poco disponible,41-60,Escaso,Frecuente,Poco disponible,Poco disponible,Disponible
49,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,20-40,Disponible,Disponible,Disponible,Abundante,Abundante
50,Mala,Mala,Disponible,Poco disponible,Abundante,Poco disponible,143-163,Comun,Común,Común,Disponible,Abundante
51,Mala,Mala,Disponible,Abundante,Abundante,Poco disponible,61-81,Raro,Común,Poco disponible,Escaso,Disponible
52,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,61-81,Comun,Común,Común,Disponible,Disponible
53,Mala,Mala,Poco disponible,Abundante,Abundante,Poco disponible,61-81,Comun,Común,Común,Disponible,Disponible
54,Mala,Mala,Abundante,Abundante,Poco disponible,Abundante,20-40,Raro,Raro,Común,Poco disponible,Abundante
55,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,41-60,Comun,Común,Poco disponible,Disponible,Disponible
56,Mala,Mala,Abundante,Poco disponible,Poco disponible,Poco disponible,41-60,Escaso,Abundante,Disponible,Disponible,Disponible
57,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Raro,Común,Común,Poco disponible,Poco disponible
58,Mala,Mala,Abundante,Poco disponible,Poco disponible,Abundante,41-60,Comun,Frecuente,Poco disponible,Disponible,Disponible
59,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Disponible,Disponible,Disponible,Disponible,Poco disponible
60,Mala,Mala,Escaso,Poco disponible,Poco disponible,Disponible,41-60,Disponible,Disponible,Disponible,Disponible,Disponible
61,Mala,Buena,Poco disponible,Abundante,Disponible,Disponible,41-60,Disponible,Disponible,Frecuente,Disponible,Disponible
62,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Comun,Común,Común,Disponible,Disponible
63,Mala,Buena,Poco disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Disponible,Disponible,Frecuente,Disponible,Disponible
64,Mala,Buena,Poco disponible,Poco disponible,Disponible,Poco disponible,41-60,Disponible,Disponible,Frecuente,Disponible,Disponible
65,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,102-122,Disponible,Disponible,Disponible,Disponible,Disponible
66,Mala,Buena,Poco disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Disponible,Disponible,Frecuente,Disponible,Disponible
67,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,41-60,Comun,Común,Común,Disponible,Disponible
68,Mala,Mala,Escaso,Abundante,Poco disponible,Poco disponible,20-40,Escaso,Frecuente,Poco disponible,Abundante,Disponible
69,Mala,Mala,Frecuente,Poco disponible,Poco disponible,Poco disponible,82-101,Comun,Común,Común,Disponible,Disponible
70,Mala,Mala,Escaso,Abundante,Poco disponible,Abundante,41-60,Frecuente,Frecuente,Poco disponible,Escaso,Disponible
71,Mala,Mala,Abundante,Poco disponible,Poco disponible,Poco disponible,20-40,Comun,Común,Frecuente,Raro,Disponible
72,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,20-40,Disponible,Disponible,Disponible,Disponible,Disponible
73,Mala,Mala,Raro,Escaso,Escaso,Poco disponible,123-142,Raro,Raro,Frecuente,Disponible,Disponible
74,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,61-81,Comun,Común,Poco disponible,Disponible,Disponible
75,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Común,Disponible,Disponible
76,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Escaso,20-40,Comun,Común,Abundante,Disponible,Disponible
77,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Común,Disponible,Disponible
78,Mala,Mala,Poco disponible,Poco disponible,Abundante,Disponible,20-40,Comun,Común,Poco disponible,Disponible,Disponible
79,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Abundante,41-60,Raro,Común,Común,Raro,Poco disponible
80,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Raro,Frecuente,Frecuente,Poco disponible,Poco disponible
81,Mala,Mala,Poco disponible,Abundante,Poco disponible,Abundante,41-60,Comun,Común,Común,Disponible,Disponible
82,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,0-19,Disponible,Disponible,Disponible,Disponible,Abundante
83,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Disponible,Disponible,Raro,Disponible,Disponible
84,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,20-40,Comun,Común,Común,Disponible,Disponible
85,Mala,Mala,Disponible,Abundante,Abundante,Poco disponible,143-163,Comun,Común,Común,Disponible,Disponible
86,Mala,Mala,Disponible,Poco disponible,Poco disponible,Poco disponible,41-60,Disponible,Disponible,Frecuente,Poco disponible,Disponible
87,Mala,Buena,Abundante,Disponible,Poco disponible,Disponible,0-19,Disponible,Disponible,Disponible,Disponible,Disponible
88,Mala,Mala,Poco disponible,Frecuente,Abundante,Normal,82-101,Frecuente,Frecuente,Común,Poco disponible,Disponible
89,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,20-40,Frecuente,Frecuente,Raro,Raro,Poco disponible
90,Mala,Buena,Poco disponible,Disponible,Poco disponible,Disponible,0-19,Raro,Raro,Escaso,Poco disponible,Disponible
91,Mala,Mala,Disponible,Frecuente,Escaso,Normal,61-81,Abundante,Frecuente,Común,Raro,Abundante
92,Mala,Mala,Disponible,Abundante,Poco disponible,Escaso,20-40,Comun,Común,Escaso,Escaso,Abundante
93,Mala,Mala,Raro,Abundante,Poco disponible,Poco disponible,61-81,Comun,Común,Escaso,Disponible,Disponible
94,Mala,Mala,Disponible,Poco disponible,Poco disponible,Poco disponible,61-81,Escaso,Frecuente,Poco disponible,Disponible,Disponible
95,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,61-81,Comun,Común,Común,Disponible,Poco disponible
96,Mala,Buena,Disponible,Poco disponible,Poco disponible,Disponible,61-81,Disponible,Poco disponible,Escaso,Disponible,Disponible
97,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Común,Disponible,Disponible
98,Mala,Mala,Abundante,Abundante,Poco disponible,Poco disponible,20-40,Disponible,Disponible,Disponible,Disponible,Abundante
99,Mala,Mala,Escaso,Abundante,Poco disponible,Poco disponible,41-60,Raro,Raro,Común,Abundante,Poco disponible
100,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,20-40,Raro,Raro,Abundante,Disponible,Disponible
101,Mala,Mala,Abundante,Abundante,Abundante,Abundante,82-101,Escaso,Escaso,Abundante,Poco disponible,Disponible
102,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,41-60,Comun,Común,Poco disponible,Disponible,Disponible
103,Mala,Mala,Disponible,Disponible,Disponible,Poco disponible,20-40,Disponible,Disponible,Disponible,Disponible,Disponible
104,Mala,Mala,Poco disponible,Poco disponible,Abundante,Poco disponible,20-40,Comun,Común,Raro,Abundante,Disponible
105,Mala,Mala,Poco disponible,Abundante,Abundante,Escaso,20-40,Disponible,Disponible,Disponible,Disponible,Disponible
106,Mala,Mala,Frecuente,Poco disponible,Abundante,Escaso,20-40,Disponible,Disponible,Disponible,Disponible,Disponible
107,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Disponible,Disponible,Escaso,Poco disponible,Poco disponible
108,Mala,Mala,Poco disponible,Abundante,Abundante,Abundante,61-81,Frecuente,Raro,Común,Disponible,Disponible
109,Mala,Mala,Disponible,Poco disponible,Abundante,Abundante,61-81,Disponible,Disponible,Disponible,Poco disponible,Poco disponible
110,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Abundante,123-142,Comun,Común,Común,Disponible,Disponible
111,Mala,Mala,Disponible,Abundante,Poco disponible,Abundante,61-81,Comun,Frecuente,Frecuente,Escaso,Disponible
112,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,123-142,Comun,Común,Común,Disponible,Disponible
113,Mala,Mala,Disponible,Abundante,Abundante,Poco disponible,61-81,Comun,Común,Común,Disponible,Disponible
114,Mala,Mala,Abundante,Poco disponible,Abundante,Disponible,41-60,Comun,Común,Común,Disponible,Disponible
115,Mala,Mala,Disponible,Abundante,Abundante,Normal,61-81,Poco disponible,Abundante,Abundante,Disponible,Disponible
116,Mala,Mala,Escaso,Poco disponible,Poco disponible,Disponible,41-60,Disponible,Disponible,Frecuente,Raro,Abundante
117,Mala,Mala,Escaso,Abundante,Abundante,Poco disponible,164-183,Comun,Común,Común,Escaso,Disponible
118,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Común,Poco disponible,Disponible
119,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,41-60,Raro,Común,Común,Abundante,Poco disponible
120,Mala,Mala,Disponible,Escaso,Abundante,Escaso,61-81,Disponible,Abundante,Frecuente,Abundante,Poco disponible
121,Mala,Mala,Poco disponible,Frecuente,Abundante,Poco disponible,61-81,Comun,Común,Común,Disponible,Disponible
122,Mala,Mala,Escaso,Abundante,Poco disponible,Poco disponible,20-40,Raro,Común,Común,Abundante,Poco disponible
123,Mala,Mala,Frecuente,Poco disponible,Abundante,Disponible,20-40,Raro,Raro,Común,Disponible,Disponible
124,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,20-40,Poco disponible,Poco disponible,Escaso,Raro,Poco disponible
125,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,61-81,Comun,Común,Común,Disponible,Disponible
126,Mala,Mala,Disponible,Abundante,Poco disponible,Abundante,20-40,Disponible,Disponible,Abundante,Poco disponible,Disponible
127,Mala,Mala,Disponible,Escaso,Escaso,Normal,61-81,Comun,Común,Común,Disponible,Disponible
128,Mala,Mala,Escaso,Abundante,Poco disponible,Poco disponible,41-60,Raro,Raro,Común,Poco disponible,Poco disponible
129,Mala,Mala,Abundante,Disponible,Poco disponible,Disponible,20-40,Raro,Escaso,Frecuente,Disponible,Disponible
130,Mala,Mala,Abundante,Poco disponible,Poco disponible,Poco disponible,20-40,Abundante,Escaso,Raro,Abundante,Poco disponible
131,Mala,Mala,Escaso,Poco disponible,Poco disponible,Poco disponible,20-40,Raro,Común,Común,Abundante,Poco disponible
132,Mala,Mala,Abundante,Poco disponible,Poco disponible,Poco disponible,20-40,Escaso,Escaso,Frecuente,Disponible,Disponible
133,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,61-81,Comun,Común,Común,Disponible,Disponible
134,Mala,Mala,Poco disponible,Poco disponible,Abundante,Disponible,20-40,Comun,Común,Común,Disponible,Disponible
135,Mala,Mala,Escaso,Abundante,Poco disponible,Escaso,20-40,Raro,Raro,Común,Abundante,Poco disponible
136,Mala,Mala,Disponible,Poco disponible,Poco disponible,Abundante,61-81,Comun,Común,Común,Disponible,Disponible
137,Mala,Mala,Poco disponible,Abundante,Poco disponible,Abundante,20-40,Comun,Común,Frecuente,Raro,Disponible
138,Mala,Mala,Escaso,Poco disponible,Poco disponible,Disponible,20-40,Raro,Común,Común,Abundante,Poco disponible
139,Mala,Mala,Escaso,Abundante,Poco disponible,Escaso,20-40,Disponible,Disponible,Poco disponible,Poco disponible,Abundante
140,Mala,Mala,Abundante,Poco disponible,Poco disponible,Poco disponible,20-40,Raro,Raro,Abundante,Raro,Abundante
141,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,61-81,Comun,Común,Común,Disponible,Abundante
142,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,20-40,Raro,Raro,Abundante,Escaso,Poco disponible
143,Mala,Mala,Abundante,Abundante,Poco disponible,Disponible,20-40,Poco disponible,Escaso,Raro,Abundante,Disponible
144,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,102-122,Poco disponible,Abundante,Abundante,Abundante,Abundante
145,Mala,Mala,Escaso,Escaso,Abundante,Escaso,143-163,Frecuente,Frecuente,Raro,Poco disponible,Frecuente
146,Mala,Mala,Disponible,Frecuente,Abundante,Abundante,61-81,Comun,Raro,Común,Escaso,Poco disponible
147,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,61-81,Raro,Frecuente,Abundante,Poco disponible,Escaso
148,Mala,Mala,Disponible,Abundante,Abundante,Escaso,82-101,Comun,Común,Escaso,Poco disponible,Disponible
149,Mala,Mala,Poco disponible,Poco disponible,Escaso,Disponible,82-101,Comun,Común,Común,Disponible,Disponible
150,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Frecuente,Poco disponible,Poco disponible
151,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,184-205,Comun,Común,Común,Disponible,Poco disponible
152,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Normal,41-60,Abundante,Poco disponible,Disponible,Poco disponible,Disponible
153,Mala,Mala,Escaso,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Poco disponible,Frecuente,Abundante
154,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,41-60,Comun,Común,Común,Abundante,Poco disponible
155,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,41-60,Poco disponible,Escaso,Raro,Poco disponible,Escaso
156,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,102-122,Comun,Común,Común,Disponible,Escaso
157,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,82-101,Comun,Común,Común,Disponible,Disponible
158,Mala,Mala,Escaso,Abundante,Poco disponible,Abundante,41-60,Raro,Común,Escaso,Raro,Poco disponible
159,Mala,Mala,Abundante,Poco disponible,Abundante,Poco disponible,61-81,Comun,Común,Común,Disponible,Disponible
160,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,61-81,Comun,Común,Raro,Poco disponible,Poco disponible
161,Mala,Mala,Disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Disponible,Poco disponible,Frecuente,Disponible,Poco disponible
162,Mala,Mala,Poco disponible,Abundante,Abundante,Abundante,41-60,Escaso,Escaso,Raro,Poco disponible,Escaso
163,Mala,Mala,Poco disponible,Abundante,Abundante,Abundante,41-60,Poco disponible,Abundante,Frecuente,Poco disponible,Frecuente
164,Mala,Mala,Disponible,Escaso,Poco disponible,Poco disponible,61-81,Abundante,Abundante,Disponible,Poco disponible,Escaso
165,Mala,Mala,Disponible,Abundante,Poco disponible,Disponible,0-19,Raro,Frecuente,Disponible,Poco disponible,Abundante
166,Mala,Mala,Poco disponible,Frecuente,Abundante,Escaso,61-81,Frecuente,Raro,Común,Raro,Poco disponible
167,Mala,Mala,Disponible,Abundante,Poco disponible,Abundante,61-81,Comun,Común,Poco disponible,Disponible,Disponible
168,Mala,Mala,Poco disponible,Escaso,Poco disponible,Escaso,41-60,Abundante,Escaso,Raro,Disponible,Poco disponible
169,Mala,Mala,Poco disponible,Disponible,Poco disponible,Disponible,0-19,Disponible,Abundante,Disponible,Disponible,Poco disponible
170,Mala,Mala,Poco disponible,Poco disponible,Abundante,Abundante,61-81,Comun,Común,Poco disponible,Disponible,Poco disponible
171,Mala,Mala,Poco disponible,Disponible,Poco disponible,Disponible,20-40,Comun,Común,Común,Disponible,Disponible
172,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,61-81,Disponible,Disponible,Disponible,Disponible,Poco disponible
173,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,20-40,Escaso,Frecuente,Abundante,Disponible,Abundante
174,Mala,Mala,Poco disponible,Escaso,Abundante,Normal,164-183,Frecuente,Frecuente,Raro,Poco disponible,Abundante
175,Mala,Mala,Abundante,Poco disponible,Poco disponible,Poco disponible,61-81,Disponible,Disponible,Abundante,Disponible,Disponible
176,Mala,Mala,Disponible,Abundante,Abundante,Disponible,82-101,Comun,Común,Común,Disponible,Disponible
177,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,20-40,Abundante,Frecuente,Poco disponible,Poco disponible,Abundante
178,Mala,Mala,Abundante,Poco disponible,Poco disponible,Abundante,20-40,Raro,Raro,Escaso,Abundante,Disponible
179,Mala,Mala,Abundante,Poco disponible,Poco disponible,Poco disponible,41-60,Comun,Raro,Común,Poco disponible,Abundante
180,Mala,Buena,Poco disponible,Disponible,Poco disponible,Disponible,41-60,Comun,Común,Común,Disponible,Disponible
181,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Disponible,Disponible,Abundante,Poco disponible,Disponible
182,Mala,Mala,Disponible,Escaso,Poco disponible,Normal,61-81,Escaso,Escaso,Raro,Abundante,Poco disponible
183,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,143-163,Comun,Común,Común,Disponible,Poco disponible
184,Mala,Mala,Disponible,Escaso,Abundante,Escaso,143-163,Disponible,Disponible,Escaso,Disponible,Disponible
185,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,41-60,Comun,Común,Común,Disponible,Disponible
186,Mala,Mala,Disponible,Abundante,Poco disponible,Disponible,20-40,Frecuente,Frecuente,Común,Poco disponible,Raro
187,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,143-163,Comun,Común,Común,Disponible,Disponible
188,Mala,Mala,Abundante,Abundante,Abundante,Poco disponible,82-101,Raro,Raro,Escaso,Disponible,Disponible
189,Mala,Mala,Abundante,Escaso,Abundante,Normal,61-81,Comun,Común,Común,Disponible,Disponible
190,Mala,Mala,Poco disponible,Abundante,Poco disponible,Abundante,20-40,Disponible,Poco disponible,Abundante,Disponible,Disponible
191,Mala,Mala,Frecuente,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Común,Disponible,Disponible
192,Mala,Mala,Abundante,Poco disponible,Poco disponible,Disponible,41-60,Frecuente,Escaso,Raro,Disponible,Disponible
193,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,102-122,Comun,Común,Común,Disponible,Disponible
194,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,61-81,Comun,Común,Común,Disponible,Disponible
195,Mala,Mala,Poco disponible,Abundante,Abundante,Poco disponible,41-60,Abundante,Escaso,Común,Poco disponible,Escaso
196,Mala,Mala,Abundante,Disponible,Poco disponible,Poco disponible,20-40,Disponible,Disponible,Disponible,Abundante,Poco disponible
197,Mala,Buena,Poco disponible,Frecuente,Escaso,Normal,82-101,Abundante,Escaso,Abundante,Disponible,Disponible
198,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,61-81,Escaso,Frecuente,Raro,Poco disponible,Abundante
199,Mala,Mala,Disponible,Poco disponible,Poco disponible,Poco disponible,41-60,Escaso,Escaso,Abundante,Poco disponible,Abundante
200,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,61-81,Comun,Común,Poco disponible,Disponible,Disponible
201,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Comun,Común,Común,Disponible,Disponible
202,Mala,Mala,Escaso,Disponible,Poco disponible,Disponible,20-40,Comun,Común,Común,Disponible,Disponible
203,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Comun,Común,Común,Poco disponible,Disponible
204,Mala,Mala,Abundante,Poco disponible,Poco disponible,Poco disponible,61-81,Comun,Común,Común,Disponible,Disponible
205,Mala,Mala,Poco disponible,Disponible,Disponible,Disponible,20-40,Disponible,Abundante,Abundante,Disponible,Disponible
206,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Común,Disponible,Disponible
207,Mala,Mala,Poco disponible,Escaso,Abundante,Normal,61-81,Comun,Común,Frecuente,Escaso,Poco disponible
208,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,41-60,Raro,Raro,Frecuente,Disponible,Disponible
209,Mala,Mala,Disponible,Abundante,Poco disponible,Disponible,41-60,Poco disponible,Poco disponible,Abundante,Disponible,Disponible
210,Mala,Mala,Escaso,Abundante,Abundante,Escaso,61-81,Frecuente,Frecuente,Escaso,Poco disponible,Disponible
211,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Poco disponible,20-40,Comun,Común,Común,Disponible,Disponible
212,Mala,Buena,Poco disponible,Frecuente,Poco disponible,Poco disponible,61-81,Comun,Común,Común,Disponible,Disponible
213,Mala,Mala,Poco disponible,Frecuente,Poco disponible,Poco disponible,164-183,Comun,Común,Escaso,Disponible,Disponible
214,Mala,Mala,Poco disponible,Poco disponible,Abundante,Disponible,41-60,Comun,Común,Común,Poco disponible,Poco disponible
215,Mala,Mala,Disponible,Poco disponible,Abundante,Disponible,184-205,Comun,Común,Escaso,Disponible,Disponible
216,Mala,Mala,Frecuente,Poco disponible,Poco disponible,Abundante,61-81,Comun,Común,Común,Disponible,Disponible
217,Mala,Mala,Poco disponible,Abundante,Abundante,Escaso,61-81,Poco disponible,Disponible,Disponible,Poco disponible,Poco disponible
218,Mala,Mala,Frecuente,Poco disponible,Poco disponible,Poco disponible,82-101,Comun,Común,Común,Poco disponible,Disponible
219,Mala,Buena,Abundante,Abundante,Poco disponible,Abundante,41-60,Frecuente,Escaso,Común,Abundante,Poco disponible
220,Mala,Mala,Frecuente,Poco disponible,Poco disponible,Abundante,61-81,Comun,Común,Escaso,Disponible,Disponible
221,Mala,Mala,Disponible,Abundante,Poco disponible,Escaso,0-19,Abundante,Abundante,Abundante,Poco disponible,Poco disponible
222,Mala,Mala,Poco disponible,Abundante,Abundante,Poco disponible,123-142,Frecuente,Frecuente,Abundante,Poco disponible,Abundante
