,FECHA_DOC,CANT,CVE_ART
0,2022-01-05,1,TUE00244
1,2022-01-05,1,TUA00028
2,2022-01-05,7,TP0007
3,2022-01-05,1,TP0001
4,2022-01-05,2,BP00242
