Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.26123558,0.12699913,0.33854056,0.32898344,0.00774838,0.45089286,0.26785714,0.33333333,0.39187398,0.45885024,0.59613038,0.55581621,0.47671028,0.44594094,0.51641037,0.46091599,0.53440026,0.56988659,0.47875475,0.31112881,0.58846637,0.35005987,0.51765018,0.33795838,0.42288343,0.51997130,0.52145823,0.40784283,-1,-1,-1,1
0.27252251,0.12728884,0.31544335,0.34477947,0.01434344,0.51339286,0.25892857,0.24358974,0.38678854,0.46234331,0.56878479,0.53549208,0.47386420,0.45360127,0.49603988,0.44845981,0.50148215,0.56765527,0.49263441,0.31529475,0.60140260,0.35613442,0.52686014,0.34867965,0.39495876,0.52443347,0.52383579,0.42569388,-1,-1,-1,1
0.39121594,0.18265524,0.63688186,0.35622135,0.01359584,0.56250000,0.14285714,0.16666667,0.38911215,0.49548094,0.60379863,0.57134019,0.47620345,0.48788341,0.52933316,0.46290386,0.52526246,0.61301060,0.46210848,0.32731918,0.57878186,0.35705614,0.51537954,0.33989791,0.38614093,0.51909492,0.53770364,0.45567303,-1,-1,-1,1
0.38348542,0.26723546,0.64708307,0.33923197,0.01335483,0.54464286,0.11607143,0.16666667,0.39606986,0.50249818,0.60692231,0.57577134,0.47705775,0.50135404,0.54384783,0.46716126,0.53587618,0.62442120,0.45162313,0.32823409,0.56727130,0.35820260,0.51013864,0.33447124,0.39282159,0.51867184,0.52192097,0.46137115,-1,-1,-1,1
0.33110210,0.26753332,0.52704596,0.30528911,0.01592446,0.50000000,0.09821429,0.15384615,0.42759810,0.52852652,0.64391152,0.62160213,0.52470357,0.53777552,0.59242368,0.50367244,0.54355199,0.62059817,0.49009289,0.33786396,0.61492309,0.37313151,0.54375364,0.34405327,0.40328062,0.53348424,0.53120036,0.48676764,-1,-1,-1,1
0.24935606,0.28185710,0.40306442,0.21889215,0.01440289,0.48660714,0.12500000,0.14102564,0.43824318,0.53820805,0.64994659,0.63385441,0.54223129,0.56312031,0.61417173,0.52037965,0.54893632,0.61655140,0.50260047,0.33334475,0.61972613,0.38154215,0.55080040,0.34385808,0.40386364,0.55418065,0.52674655,0.50353061,-1,-1,-1,1
0.24525115,0.34244270,0.50264008,0.18287833,0.01108930,0.47767857,0.08035714,0.15384615,0.45266091,0.56281247,0.67335759,0.66317822,0.56802495,0.59527277,0.64421688,0.54231207,0.55802350,0.61933415,0.52596291,0.33129304,0.63712372,0.39184337,0.56780066,0.34066888,0.37339474,0.58978075,0.53270497,0.52123250,-1,-1,-1,1
0.21837723,0.32013542,0.56889458,0.12592098,0.00421753,0.48214286,0.08035714,0.15384615,0.46140028,0.59134690,0.67715964,0.66531787,0.56732093,0.62966783,0.65459719,0.57373757,0.59419314,0.66006767,0.54152801,0.30382824,0.65945877,0.36706984,0.56796921,0.31713126,0.37694528,0.63445330,0.51934789,0.55623096,-1,-1,-1,1
0.15612681,0.24690029,0.41162167,0.11636007,0.00470927,0.47321429,0.08928571,0.14102564,0.47452446,0.62492572,0.70348930,0.68874490,0.57770460,0.66482836,0.67965745,0.61799253,0.61741734,0.66029570,0.55099941,0.28138103,0.68255219,0.33957942,0.56927142,0.28560021,0.37385807,0.64088930,0.51982027,0.54798420,-1,-1,-1,1
0.16889909,0.25429056,0.40490934,0.13922769,0.01257186,0.45982143,0.08035714,0.12820513,0.47289267,0.59363927,0.66823170,0.65663355,0.58107239,0.63867478,0.64334134,0.61499493,0.58486943,0.61398118,0.59043712,0.25135959,0.71762825,0.31917402,0.58030342,0.27271148,0.35799293,0.68794865,0.48905748,0.54283115,-1,-1,-1,1
0.18572140,0.24956957,0.37713484,0.16528811,0.01857857,0.44196429,0.09821429,0.11538462,0.47418573,0.58039341,0.65930647,0.65027575,0.58014025,0.61901476,0.63590329,0.62271237,0.56464621,0.60007370,0.63189714,0.23785790,0.77127185,0.30528884,0.60553623,0.25815751,0.34085432,0.72280832,0.48786108,0.56403402,-1,-1,-1,1
0.22112638,0.15091741,0.47656642,0.16356792,0.02415332,0.41071429,0.09821429,0.07692308,0.47494316,0.58194047,0.65471540,0.63650866,0.56683229,0.61223181,0.62022044,0.62126011,0.57564182,0.61504076,0.62673339,0.23017998,0.77946890,0.28440990,0.60306750,0.23229302,0.34022273,0.72957003,0.49937058,0.57523669,-1,-1,-1,1
0.19713785,0.10637201,0.40267822,0.15421286,0.02850399,0.36160714,0.09821429,0.10256410,0.47878848,0.58755417,0.65246971,0.62624633,0.55927596,0.60693708,0.60605716,0.62033398,0.58464475,0.62647534,0.63357485,0.21949252,0.79869927,0.26397808,0.60539172,0.21364386,0.32334611,0.73907946,0.50794051,0.57738230,-1,-1,-1,1
0.18334178,0.11628898,0.37212768,0.14517909,0.02829459,0.33035714,0.11607143,0.14102564,0.48504066,0.60090718,0.65982192,0.62840264,0.55793668,0.61138399,0.60356416,0.62601676,0.58930301,0.63559783,0.63251141,0.21889409,0.80410449,0.25670686,0.60645169,0.20273723,0.33430659,0.74852625,0.49900037,0.58758147,-1,-1,-1,1
0.32508040,0.33806352,0.21469498,0.40199274,0.03621211,0.33035714,0.15178571,0.15384615,0.50260650,0.57289631,0.66091961,0.62298578,0.57337343,0.58040356,0.59966050,0.59198378,0.59771110,0.62964343,0.60879908,0.23314502,0.78054427,0.27410793,0.59948588,0.20669028,0.31473399,0.75740767,0.49687869,0.56758969,-1,-1,-1,1
