Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.00176663,0.00418415,0.00633825,0.00678347,0.02235649,0.51666667,0.01785714,0.04761905,0.57610887,0.41714184,0.48183782,0.48118174,0.69114343,0.55591177,0.46911591,0.67626941,0.30435631,0.33492028,0.66812579,0.62753432,0.65531303,0.57357977,0.68333321,0.67083326,0.47980828,0.52905893,0.37133627,0.37403966,-1,-1,-1,-1
0.00366822,0.00153397,0.00993207,0.00827691,0.02025932,0.51666667,0.03571429,0.04761905,0.53685575,0.40083324,0.46776678,0.46987239,0.66127328,0.54263114,0.43428240,0.63016499,0.31259379,0.35088721,0.63873489,0.60347966,0.63913955,0.55345079,0.65999356,0.62807450,0.36973617,0.58933615,0.43558272,0.42681680,-1,-1,-1,-1
0.00104162,0.00121040,0.00493082,0.00840673,0.01744111,0.51666667,0.01785714,0.04761905,0.47202522,0.36951753,0.43643215,0.42939901,0.59402587,0.48491242,0.37830036,0.54065466,0.33403023,0.37322771,0.62161749,0.57088384,0.62723737,0.52206610,0.63668180,0.56999798,0.23857173,0.67072094,0.48952167,0.46029701,-1,-1,-1,-1
0.00000000,0.00000000,0.00727078,0.00690358,0.01491886,0.51666667,0.03571429,0.07142857,0.47955341,0.37339111,0.44221086,0.42552059,0.57088079,0.47488889,0.38447735,0.49153984,0.39624396,0.40002129,0.57514582,0.53133820,0.59326858,0.49633460,0.59268487,0.54982739,0.13742897,0.73095108,0.45681748,0.42167976,-1,-1,-1,-1
0.00068411,0.00000941,0.01246066,0.00616771,0.01254837,0.51666667,0.03571429,0.07142857,0.44925036,0.37096065,0.40410604,0.37484118,0.53223621,0.45136311,0.32201295,0.44944777,0.46056422,0.45215474,0.52810463,0.52174613,0.55016627,0.49037017,0.55832615,0.54019312,0.11674171,0.74515700,0.41279643,0.37302989,-1,-1,-1,-1
0.00685358,0.00457725,0.01307520,0.00517983,0.02675168,0.51666667,0.01785714,0.04761905,0.43499118,0.36333223,0.43435253,0.40536704,0.51451285,0.42388937,0.35988032,0.47075477,0.46160892,0.44843383,0.51597020,0.52095178,0.53932187,0.48403688,0.54347339,0.57743157,0.13330755,0.75491160,0.37862237,0.35116340,-1,-1,-1,-1
0.00637090,0.00907697,0.01622226,0.00474508,0.02414965,0.50833333,0.01785714,0.02380952,0.43188312,0.36623949,0.45428741,0.41033850,0.49732934,0.41112931,0.37718676,0.47269052,0.50005414,0.47853360,0.45365271,0.49219006,0.48411099,0.45094312,0.48391604,0.55718039,0.17025489,0.73483626,0.34661545,0.31673540,-1,-1,-1,-1
0.00761376,0.01047416,0.01583624,0.00681069,0.02574852,0.50000000,0.00000000,0.00000000,0.50995019,0.40545619,0.51558445,0.46014027,0.54796550,0.44769398,0.43737334,0.52574923,0.52365073,0.50120240,0.47716948,0.52247420,0.48936453,0.46067126,0.49832016,0.57299175,0.19656325,0.69231746,0.33964079,0.28773140,-1,-1,-1,-1
0.01342433,0.00857694,0.02474328,0.00644428,0.03067850,0.50000000,0.00000000,0.00000000,0.54395899,0.40198832,0.52505352,0.46318791,0.56908367,0.44086575,0.44791121,0.53126849,0.53565865,0.51376855,0.49533122,0.54761177,0.48854462,0.46944281,0.50815561,0.58834552,0.20625793,0.68014399,0.35212663,0.28582800,-1,-1,-1,-1
0.01513360,0.00502008,0.03772568,0.00768684,0.02090133,0.50000000,0.00000000,0.00000000,0.56310061,0.43777353,0.57474206,0.49973803,0.58152675,0.46252907,0.48646265,0.51826127,0.52852493,0.51105483,0.49133767,0.53941348,0.48065957,0.46375318,0.49955515,0.58405274,0.19088755,0.65786431,0.35795535,0.24377448,-1,-1,-1,-1
0.01583354,0.00897865,0.03435191,0.00592845,0.02508486,0.50000000,0.00000000,0.00000000,0.57026299,0.45406576,0.56633484,0.48200043,0.57262815,0.46392623,0.45964990,0.48137016,0.55348000,0.52439416,0.50184944,0.54287006,0.49436482,0.46441147,0.51003288,0.58040981,0.17874612,0.66139203,0.35839025,0.22562964,-1,-1,-1,-1
0.01239295,0.00725871,0.02882529,0.00621511,0.01882203,0.50000000,0.00000000,0.00000000,0.53349358,0.43694278,0.52890898,0.45183344,0.54011971,0.43825726,0.42399625,0.44403167,0.54056861,0.51980792,0.49826219,0.55632457,0.50009429,0.47224634,0.51734153,0.59259150,0.17989209,0.66628152,0.33877915,0.22167042,-1,-1,-1,-1
0.00843216,0.00806716,0.01890350,0.00981527,0.01643442,0.50000000,0.00000000,0.00000000,0.46863452,0.40765988,0.47244955,0.41107792,0.48545624,0.40119005,0.38356107,0.41160810,0.48516443,0.48480955,0.46661000,0.56015972,0.49875924,0.46829267,0.51101936,0.58903732,0.18345341,0.67077067,0.32091198,0.21096644,-1,-1,-1,-1
0.00608546,0.00496722,0.00501727,0.01666194,0.01831466,0.50000000,0.00000000,0.00000000,0.41159082,0.39530579,0.42709745,0.37706827,0.43518551,0.37759080,0.34360941,0.38251188,0.44963020,0.45536979,0.47197338,0.59404528,0.51976765,0.49367134,0.54208698,0.58451958,0.19138761,0.71043093,0.29867793,0.21529468,-1,-1,-1,-1
0.01149017,0.00394862,0.01702995,0.02132289,0.01800435,0.50000000,0.00000000,0.00000000,0.42749795,0.39970187,0.43068529,0.39000222,0.45569179,0.38312917,0.36322654,0.40184514,0.43875196,0.43572592,0.46964314,0.61480999,0.52070602,0.50390496,0.55071393,0.58423463,0.19931355,0.74074677,0.29951440,0.24165160,-1,-1,-1,-1
0.01353557,0.00515980,0.01775815,0.02340239,0.01920381,0.50833333,0.01785714,0.02380952,0.38219774,0.37568209,0.41289403,0.38141809,0.43142660,0.36646116,0.34564607,0.40305340,0.41177271,0.42818585,0.48853461,0.61644838,0.53608831,0.50442272,0.56070060,0.60188097,0.22869711,0.76406616,0.26145562,0.23685095,-1,-1,-1,-1
0.01347304,0.00315611,0.01347875,0.02077736,0.02325647,0.51666667,0.01785714,0.04761905,0.37560298,0.35263081,0.40136794,0.35909507,0.42459524,0.35939471,0.32375957,0.38423078,0.41816989,0.42385992,0.48728563,0.58213960,0.52340242,0.48457290,0.53735562,0.60595773,0.23624404,0.77884705,0.25368339,0.21758916,-1,-1,-1,-1
0.00889089,0.00360250,0.01100064,0.01184472,0.02403464,0.52500000,0.01785714,0.04761905,0.40632535,0.38020169,0.42663621,0.37497576,0.44643221,0.38215412,0.33055606,0.39252165,0.45950289,0.47113316,0.48621157,0.53881006,0.51473338,0.47246252,0.51988117,0.59054050,0.25640437,0.80677310,0.25233686,0.24222051,-1,-1,-1,-1
0.00493911,0.00031028,0.00000000,0.01114311,0.02386929,0.53333333,0.01785714,0.02380952,0.40617830,0.38579666,0.41805943,0.35941989,0.44011556,0.40851424,0.32878489,0.40208692,0.49646711,0.52036968,0.42191329,0.46590359,0.44939806,0.42947514,0.43800166,0.59487027,0.23402088,0.79964559,0.28615246,0.26928097,-1,-1,-1,-1
0.00938983,0.00213735,0.00989610,0.00958457,0.03112622,0.53333333,0.01785714,0.02380952,0.41153515,0.38771936,0.41211343,0.36106119,0.42382656,0.41778742,0.34014251,0.39613017,0.49490286,0.53672379,0.39636741,0.37836861,0.42994533,0.37381450,0.37821381,0.59313990,0.25913565,0.79252108,0.26714604,0.27388609,-1,-1,-1,-1
0.01079847,0.00302470,0.01028272,0.01590113,0.02322551,0.51666667,0.03571429,0.02380952,0.43458721,0.38739167,0.39007038,0.34918288,0.42204933,0.42189877,0.34957772,0.41038683,0.47217190,0.52300599,0.34174936,0.32658410,0.38546595,0.34186282,0.32271108,0.55888628,0.25188758,0.76673173,0.29386090,0.30071649,-1,-1,-1,-1
0.01142076,0.00380074,0.01488496,0.01910176,0.01753548,0.50000000,0.03571429,0.04761905,0.52387257,0.46393945,0.43298096,0.41537930,0.49913120,0.48347982,0.43064941,0.51597297,0.45221149,0.51422649,0.36838677,0.34385406,0.40419511,0.37986298,0.35840845,0.56571312,0.25233685,0.76180313,0.33747226,0.35420679,-1,-1,-1,-1
