,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,price,has_availability,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
2990,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,Urbanización Guadalmina,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$158.00,t,t,40109193,80225433,20.0,22.4,36.71914,-4.41928,4.0,2.0,2.0,1.0,365,999,3.7,999.0,0,7,10,240,6.0,5.0,4.17,4.17,4.8,4.67,4.5,5.0,4.7,10.6,0.24
2991,Ovidio,2018-03-18,"Málaga, Spain",within an hour,100%,100%,f,Urbanización Guadalmina,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in loft,Private room,$96.00,t,t,23860290,179249847,11.0,15.0,36.7,-4.43664,3.0,1.0,2.0,2.0,1125,1125,2.0,1125.0,1,15,26,301,22.0,2.0,4.55,4.64,4.5,4.86,4.91,4.55,4.41,11.0,0.29
2992,Andrea,2014-11-07,"Madrid, Spain",within an hour,97%,98%,f,Hortaleza,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Room in hotel,Private room,$50.00,t,t,1021507867531162859,23441165,42.0,93.0,36.7285253,-4.4115679,2.0,1.0,1.0,1.0,365,365,1.0,365.0,3,13,43,284,5.0,5.0,4.7,4.8,4.8,4.8,4.8,4.8,4.7,10.0,0.66
2993,Ovidio,2018-03-18,"Madrid, Spain",within an hour,100%,100%,f,Hortaleza,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in loft,Private room,$96.00,t,t,23903445,179249847,11.0,15.0,36.7,-4.4352,2.0,1.0,2.0,2.0,1125,1125,2.0,1125.0,5,15,35,310,13.0,2.0,4.54,4.69,4.46,4.69,4.62,4.46,4.54,11.0,0.18
2994,I Loft Malaga,2016-06-27,"Málaga, Spain",within an hour,100%,100%,f,Hortaleza,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$92.00,t,t,14499262,80225433,20.0,22.4,36.71998,-4.41828,4.0,0.0,2.0,1.0,365,999,3.6,999.0,4,13,17,269,7.0,0.0,4.14,4.71,4.29,4.57,4.8,5.0,4.29,10.6,0.1
2995,Noelia,2016-01-22,"Málaga, Spain",within an hour,100%,91%,f,Hortaleza,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$78.00,t,f,689743436653888173,55640735,1.0,1.0,36.72567,-4.42124,4.0,2.0,2.0,1.0,365,365,1.0,365.0,2,8,8,9,22.5,9.1,4.57,4.71,4.38,4.68,4.84,4.77,4.53,1.0,1.3
2996,Rocío,2015-09-22,"Málaga, Spain",within an hour,90%,99%,t,Hortaleza,"['email', 'phone']",t,t,"Málaga, AL, Spain",Centro,Entire rental unit,Entire home/apt,$120.00,t,t,41678025,44820264,4.0,4.0,36.72312,-4.42937,6.0,3.0,3.0,3.0,1125,1125,3.0,1125.0,30,45,61,255,9.0,9.0,4.89,5.0,4.89,5.0,5.0,4.67,4.78,3.0,2.0
2997,Malaga,2014-11-03,"Andalusia, Spain",within an hour,100%,98%,f,Hortaleza,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$134.00,t,t,48436187,23300642,25.0,42.0,36.72536,-4.42306,4.0,0.0,2.0,2.0,1125,999,2.0,999.0,16,31,51,297,3.0,2.0,4.67,4.33,4.67,5.0,5.0,5.0,4.0,25.0,0.24
2998,Arantxa,2014-01-30,"Málaga, Spain",within an hour,100%,91%,t,Hortaleza,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$94.00,t,f,6537249,11778619,14.0,14.0,36.72086,-4.42314,4.0,2.0,3.0,5.0,60,60,5.2,60.0,19,41,71,346,22.5,23.0,4.71,4.87,4.81,4.94,4.94,4.94,4.73,14.0,1.34
2999,Antonio,2021-09-12,"Málaga, Spain",within an hour,100%,99%,t,Hortaleza,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$83.00,t,f,886216353293386641,422715250,9.0,9.0,36.72523,-4.41561,2.0,1.0,1.0,3.0,1125,1125,3.0,1125.0,5,11,29,136,39.0,35.0,4.79,4.85,4.79,4.85,4.97,4.31,4.72,7.0,2.9
