,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,price,has_availability,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
5,Carlos Alberto,2021-09-13,"Málaga, Spain",within an hour,100%,100%,t,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$104.00,t,t,52295523,422798059,3.0,3.0,36.72423,-4.41858,2.0,1.0,1.0,1.0,60,1125,1.0,1125.0,6,10,31,33,22.5,9.1,4.89,4.93,4.97,4.97,4.96,4.85,4.74,2.0,4.44
6,Rodo,2022-02-24,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$80.00,t,f,1105849600091052946,446668777,1.0,1.0,36.72398523806071,-4.420344155986767,2.0,1.0,2.0,1.0,1125,1125,1.0,1125.0,11,25,52,53,18.0,18.0,4.83,4.94,4.94,4.61,4.83,4.83,4.83,1.0,1.3
7,Lu&Cia,2017-04-18,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$121.00,t,t,31748629,126386697,44.0,51.0,36.71419,-4.42382,2.0,1.0,1.0,1.0,365,999,4.7,999.0,14,36,50,265,26.0,6.0,4.62,4.81,4.46,4.81,4.92,4.85,4.65,43.0,0.39
8,Gestitur,2021-05-04,"Málaga, Spain",within an hour,100%,99%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$110.00,t,t,1151936773590880075,399961266,62.0,74.0,36.7141272,-4.4289716,4.0,1.0,2.0,2.0,365,365,2.4,365.0,9,39,69,249,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,17.0,1.73
9,Maria,2021-10-19,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,f,"Málaga, Andalucía, Spain",Centro,Entire vacation home,Entire home/apt,$140.00,t,t,701861352072019656,428065882,7.0,8.0,36.7208,-4.4209,2.0,1.0,1.0,1.0,365,365,1.0,365.0,0,0,0,123,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,0.16
10,Lovely,2020-12-29,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire condo,Entire home/apt,$130.00,t,t,51874830,382146507,72.0,72.0,36.71287,-4.43704,4.0,1.0,2.0,2.0,1125,1125,2.3,1125.0,2,7,31,292,12.0,5.0,5.0,5.0,5.0,4.83,4.92,4.58,4.92,63.0,0.35
11,Santi,2016-06-25,"Andalusia, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in bed and breakfast,Private room,$147.00,t,t,1184612577583664481,79877163,2.0,2.0,36.7238422,-4.4295379,5.0,2.0,4.0,1.0,365,365,1.0,365.0,11,41,71,251,0.0,0.0,5.0,5.0,5.0,4.83,4.92,4.58,4.92,2.0,0.35
12,Welcome,2020-01-20,"Málaga, Spain",within a few hours,93%,78%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$321.00,t,f,1107837608951574164,329266025,52.0,79.0,36.72560036686984,-4.418858700022535,9.0,1.5,6.0,1.0,365,365,1.0,365.0,30,60,90,270,0.0,0.0,5.0,5.0,5.0,4.83,4.92,4.58,4.92,49.0,0.35
13,Alberto,2017-07-06,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$113.00,t,t,52250461,138864019,29.0,30.0,36.72282,-4.4,4.0,1.0,1.0,2.0,365,1125,2.0,1125.0,6,8,36,277,80.0,33.0,4.59,4.64,4.69,4.83,4.79,4.88,4.55,29.0,2.41
14,La Casa De La Alameda,2015-08-05,"Andalusia, Spain",within a day,100%,100%,t,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire vacation home,Entire home/apt,$211.00,t,t,715758596280577318,40571478,13.0,15.0,36.7173144,-4.4251622,4.0,2.0,3.0,1.0,365,365,1.0,365.0,0,0,0,1,4.0,3.0,5.0,4.75,4.75,5.0,4.8,5.0,4.25,10.0,0.31
15,Blanca,2019-06-19,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in rental unit,Private room,$211.00,t,f,53610384,269784222,3.0,5.0,36.7,-4.4,2.0,2.0,3.0,2.0,365,1125,2.6,1125.0,0,0,0,0,48.0,9.0,4.83,4.85,4.69,4.92,4.96,4.67,4.73,3.0,1.59
16,Sami Idriss,2015-04-21,"Málaga, Spain",within a day,73%,6%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Bailen-Miraflores,Private room in condo,Private room,$20.00,t,f,46730603,31649041,10.0,16.0,36.723,-4.44487,1.0,1.0,1.0,2.0,1125,1125,2.6,1125.0,0,29,59,334,2.0,0.0,4.5,4.8,4.8,4.5,5.0,4.8,4.0,10.0,0.05
17,Elsa,2015-05-19,"Málaga, Spain",within a day,73%,6%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$160.00,t,f,1173922046754917329,33721800,1.0,2.0,36.72223109999999,-4.4,5.0,2.0,6.0,2.0,334,334,2.6,334.0,29,59,89,269,0.0,0.0,4.5,4.8,4.8,4.5,5.0,4.8,4.0,1.0,0.05
18,Juan,2014-01-12,"Málaga, Spain",within a few hours,100%,86%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Teatinos-Universidad,Entire rental unit,Entire home/apt,$94.00,t,f,678725895653103548,11224703,1.0,1.0,36.71053,-4.4,3.0,2.0,3.0,3.0,99,99,3.0,99.0,28,50,80,164,6.0,3.0,4.17,4.33,4.17,4.83,4.5,4.5,4.7,1.0,0.28
19,Antonio.,2016-08-13,"Málaga, Spain",within an hour,100%,100%,f,Conjunto Residencial Playa las Gaviotas Fase VI,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$101.00,t,t,1036695641247278732,89705945,61.0,86.0,36.729350409231095,-4.411778917389588,6.0,2.0,2.0,2.0,365,444,2.1,370.0,10,40,70,79,23.0,23.0,4.65,4.61,4.61,4.83,4.96,4.7,4.74,60.0,3.37
20,Caleta Homes,2012-05-27,"Andalucía, Spain",within an hour,100%,99%,f,La Victoria,"['phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$307.00,t,t,567197678880468536,2477923,108.0,132.0,36.717407,-4.422022,6.0,2.0,3.0,1.0,1125,1125,2.6,1125.0,8,26,56,323,8.0,2.0,4.88,4.88,4.88,5.0,4.88,5.0,4.75,10.6,0.31
21,Mª Carmen,2014-03-09,"Málaga, Spain",within a few hours,100%,58%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$204.00,t,f,13445715,12959608,3.0,6.0,36.72441,-4.41702,5.0,3.0,5.0,3.0,1125,1125,4.0,1125.0,5,17,37,282,22.5,23.0,4.89,4.95,4.95,4.93,4.94,4.97,4.78,1.0,1.59
22,Fátima,2017-02-23,"Málaga, Spain",within an hour,100%,94%,t,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$153.00,t,f,1067777679786845074,117748581,1.0,1.0,36.7255873,-4.413446599999999,4.0,2.0,3.0,3.0,1125,1125,3.0,1125.0,3,7,14,33,10.0,10.0,4.9,4.8,5.0,4.9,5.0,4.9,4.7,1.0,3.26
23,Lucia,2012-07-16,"Andalusia, Spain",within an hour,100%,100%,t,Urbanización Cerros del Águila,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in condo,Private room,$153.00,t,f,24249356,2957440,16.0,23.0,36.7308,-4.42426,2.0,2.0,3.0,1.0,1125,1125,1.0,1125.0,0,0,0,0,104.0,12.0,4.67,4.84,4.68,4.93,4.89,4.37,4.68,10.0,1.38
24,Alberto,2016-06-20,"Málaga, Spain",a few days or more,0%,0%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$153.00,t,f,32688782,78910335,1.0,1.0,36.73065,-4.41479,8.0,1.5,3.0,2.0,1125,1125,2.6,1125.0,28,51,81,171,0.0,0.0,4.67,4.84,4.68,4.93,4.89,4.37,4.68,1.0,1.38
25,Malaga,2014-11-03,"Andalusia, Spain",within an hour,100%,98%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$153.00,t,t,43591775,23300642,25.0,42.0,36.72454,-4.42162,4.0,1.5,3.0,2.0,1125,999,1.9,999.0,1,11,30,235,0.0,0.0,4.67,4.84,4.68,4.93,4.89,4.37,4.68,25.0,1.38
26,Alejandro,2024-05-16,"Andalusia, Spain",within a few hours,100%,0%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$109.00,t,t,1158081830679650901,577948392,1.0,1.0,36.72483,-4.41606,5.0,1.0,3.0,1.0,365,1125,2.0,1091.7,5,8,18,199,0.0,0.0,4.67,4.84,4.68,4.93,4.89,4.37,4.68,1.0,1.38
27,Begoña,2020-06-29,"Andalusia, Spain",within a day,50%,50%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,f,"Málaga, Spain",Este,Entire rental unit,Entire home/apt,$109.00,t,f,44010395,352514710,10.0,10.0,36.72242,-4.4,6.0,2.0,3.0,1.0,1125,1125,3.0,1125.0,0,0,0,0,0.0,0.0,4.67,4.84,4.68,4.93,4.89,4.37,4.68,9.0,1.38
28,María Del Mar,2021-06-26,"Andalusia, Spain",within a day,100%,100%,f,Urbanización Cerros del Águila,['phone'],f,f,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$109.00,t,f,50653676,409279835,1.0,1.0,36.7,-4.4,4.0,3.0,3.0,5.0,365,365,5.0,365.0,0,0,0,176,10.0,2.0,4.8,4.8,5.0,4.9,5.0,4.7,4.8,1.0,0.28
29,Alejandro,2016-03-17,"Málaga, Spain",within a day,100%,100%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Churriana,Entire home,Entire home/apt,"$1,300.00",t,t,1175515871308659624,63385507,1.0,2.0,36.7,-4.4,4.0,3.0,3.0,1.0,365,365,1.0,365.0,30,60,90,270,0.0,0.0,4.8,4.8,5.0,4.9,5.0,4.7,4.8,1.0,0.28
30,MimoRooms,2013-06-24,"Málaga, Spain",within an hour,100%,100%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in home,Private room,"$1,300.00",t,t,778060321649764749,7082899,35.0,48.0,36.72725,-4.40942,2.0,1.0,3.0,2.0,365,1125,2.0,1125.0,4,22,52,300,74.0,9.1,4.73,4.76,4.76,4.93,4.93,4.66,4.54,17.0,3.99
31,INMálaga,2016-06-23,"Málaga, Spain",within an hour,100%,100%,f,Urbanización Cerros del Águila,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,"$1,300.00",t,t,867253204580770384,79418042,41.0,48.0,36.7261696,-4.4203672,2.0,1.0,3.0,1.0,365,1125,1.5,1024.3,0,0,0,0,0.0,0.0,4.73,4.76,4.76,4.93,4.93,4.66,4.54,40.0,3.99
32,OndaLuz,2021-11-24,"Málaga, Spain",within an hour,99%,100%,f,Urbanización Cerros del Águila,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,"$1,300.00",t,t,904758878213523652,433266407,21.0,22.0,36.72214,-4.42742,2.0,1.0,3.0,1.0,365,365,1.0,365.0,0,0,0,0,0.0,0.0,4.73,4.76,4.76,4.93,4.93,4.66,4.54,19.0,3.99
33,María,2019-12-13,"Málaga, Spain",within an hour,98%,100%,f,San Andrés,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Bailen-Miraflores,Room in aparthotel,Private room,"$1,300.00",t,t,998396780561943978,317065206,91.0,100.0,36.7282792,-4.4391619,2.0,1.0,3.0,1.0,365,1125,3.9,79.3,30,60,90,365,2.0,2.0,4.5,5.0,5.0,5.0,5.0,4.8,5.0,10.6,0.23
34,Elena,2019-04-23,"Málaga, Spain",within an hour,100%,100%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$184.00,t,t,1144892986154338882,257531397,1.0,1.0,36.72328422627909,-4.4,4.0,2.0,4.0,1.0,365,365,1.0,365.0,28,54,84,359,0.0,0.0,4.5,5.0,5.0,5.0,5.0,4.8,5.0,1.0,0.23
35,Raquel,2014-05-29,"Málaga, Spain",within a few hours,100%,100%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$69.00,t,f,1002054874046796096,16135283,4.0,4.0,36.72175500921768,-4.4,2.0,1.0,1.0,6.0,60,1125,6.0,1125.0,8,8,14,175,1.0,1.0,4.7,4.8,4.8,4.8,4.8,4.8,4.7,3.0,0.5
36,María,2019-12-13,"Málaga, Spain",within an hour,98%,100%,f,San Andrés,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Entire rental unit,Entire home/apt,$132.00,t,t,893956976040959311,317065206,91.0,100.0,36.7192549,-4.4367608,6.0,2.0,4.0,1.0,365,1125,3.8,105.4,29,59,89,364,4.0,3.0,4.0,4.8,4.8,4.8,4.8,4.8,4.7,10.6,0.32
37,Jose Maria,2015-04-12,"Málaga, Spain",within a few hours,100%,91%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$110.00,t,f,11257848,31088953,8.0,8.0,36.72115,-4.4,2.0,1.0,1.0,2.0,1125,1125,2.0,1125.0,5,14,17,204,46.0,11.0,4.72,4.85,4.52,4.89,4.85,4.96,4.74,8.0,0.47
38,Hotel Humaina,2017-08-16,"Andalusia, Spain",within an hour,100%,100%,f,San Andrés,"['email', 'phone', 'work_email']",t,f,"Málaga, Andalucía, Spain",Ciudad Jardin,Room in hotel,Private room,$136.00,t,t,50783348,146243868,4.0,5.0,36.7,-4.4,4.0,1.0,3.0,1.0,365,30,1.0,30.0,14,35,64,339,0.0,0.0,4.72,4.85,4.52,4.89,4.85,4.96,4.74,4.0,0.47
39,Alfonso,2014-03-03,"Málaga, Spain",within a few hours,100%,57%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Cruz De Humilladero,Private room in condo,Private room,$30.00,t,f,10964253,12762864,5.0,10.0,36.71283,-4.43463,1.0,1.0,2.0,2.0,1125,1125,2.6,1125.0,15,45,75,350,24.0,0.0,4.21,4.46,4.25,4.75,4.54,4.71,4.58,3.0,0.24
40,Belen,2016-08-31,"Málaga, Spain",within an hour,100%,100%,t,San Andrés,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$427.00,t,t,666551949700076115,92807180,7.0,7.0,36.72098,-4.42214,6.0,3.0,6.0,2.0,28,28,2.5,28.0,15,29,59,332,10.0,2.0,4.7,4.7,4.9,4.8,4.9,4.9,4.7,6.0,0.43
41,Marek,2024-06-28,"Málaga, Spain",within an hour,100%,100%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$400.00,t,t,1189033601427055682,586249512,1.0,1.0,36.7256481,-4.4189022,4.0,2.0,2.0,3.0,365,365,3.0,365.0,30,60,90,180,0.0,0.0,4.7,4.7,4.9,4.8,4.9,4.9,4.7,1.0,0.43
42,Arianna,2017-01-17,"Málaga, Spain",within an hour,100%,0%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$400.00,t,t,858501303932825096,111975119,1.0,1.0,36.72135,-4.42102,4.0,1.0,1.0,1.0,7,1125,1.0,1125.0,30,60,90,365,0.0,0.0,4.7,4.7,4.9,4.8,4.9,4.9,4.7,1.0,0.43
43,Fernando,2020-02-15,"Andalusia, Spain",within an hour,98%,99%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$108.00,t,t,48734262,336339051,46.0,54.0,36.720951080322266,-4.4,4.0,1.0,2.0,1.0,365,1125,1.5,1125.0,19,35,65,68,11.0,1.0,4.36,4.36,4.64,4.82,4.36,4.64,4.45,41.0,0.31
44,Inés,2015-04-21,"Málaga, Spain",within an hour,90%,100%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Bailen-Miraflores,Private room in rental unit,Private room,$22.00,t,t,1151483405717060484,31673943,2.0,2.0,36.72169969999999,-4.433845,1.0,1.0,0.0,2.0,365,365,2.6,365.0,13,19,19,192,0.0,0.0,4.36,4.36,4.64,4.82,4.36,4.64,4.45,2.0,0.31
45,Ofelia Y Alejandro,2017-08-12,"Málaga, Spain",within an hour,100%,94%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in rental unit,Private room,$83.00,t,f,965878325017942935,145604096,2.0,2.0,36.71915831532728,-4.409848004579544,2.0,1.0,2.0,2.0,365,365,2.0,365.0,13,21,51,51,15.0,15.0,4.87,4.87,4.8,4.93,5.0,4.93,4.87,2.0,1.53
46,María Dolores,2016-12-29,"Málaga, Spain",within a day,100%,94%,f,San Andrés,['phone'],t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$150.00,t,f,1152716033478269499,109034785,1.0,1.0,36.72309,-4.4,5.0,3.0,3.0,2.0,365,365,2.6,365.0,0,10,40,40,0.0,0.0,4.87,4.87,4.8,4.93,5.0,4.93,4.87,1.0,1.53
47,Mª Begoña,2022-09-28,"Málaga, Spain",within a few hours,71%,63%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$176.00,t,t,1075295844736119630,481370951,24.0,22.4,36.7184377,-4.4,4.0,2.0,3.0,1.0,365,999,4.1,999.0,2,14,15,148,0.0,0.0,4.87,4.87,4.8,4.93,5.0,4.93,4.87,1.0,1.53
48,Fernando,2020-02-15,"Andalusia, Spain",within an hour,98%,99%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$104.00,t,t,663620721918739405,336339051,46.0,54.0,36.7208765,-4.4,5.0,2.0,3.0,1.0,365,1125,1.5,1125.0,19,26,56,59,3.0,0.0,4.0,4.8,4.33,4.8,4.8,4.33,4.0,41.0,0.14
49,Jose Maria,2015-04-12,"Málaga, Spain",within a few hours,100%,91%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$94.00,t,f,12341217,31088953,8.0,8.0,36.72115,-4.4,3.0,1.0,2.0,2.0,1125,1125,2.0,1125.0,11,20,26,284,103.0,15.0,4.65,4.67,4.69,4.74,4.69,4.91,4.5,8.0,1.06
50,Villa Alicia,2015-08-05,"Málaga, Spain",within a day,100%,91%,f,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Private room in bed and breakfast,Private room,"$2,600.00",t,f,999138896563553972,40570361,15.0,16.0,36.72907780000001,-4.4111159,2.0,1.0,1.0,1.0,365,365,1.0,365.0,29,59,89,269,0.0,0.0,4.65,4.67,4.69,4.74,4.69,4.91,4.5,15.0,1.06
51,Carlos,2022-04-24,"Málaga, Spain",within an hour,100%,91%,t,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$96.00,t,f,612042486472078354,455744007,1.0,1.0,36.7,-4.44436,4.0,2.0,2.0,3.0,1125,1125,2.6,1125.0,16,35,65,296,40.0,18.0,4.95,4.95,4.95,4.95,4.9,4.73,4.88,1.0,1.54
52,Ibra,2017-10-12,"Málaga, Spain",within an hour,100%,100%,t,San Andrés,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$179.00,t,t,876481767821022208,154343892,4.0,4.0,36.7,-4.436839073896408,6.0,3.0,4.0,2.0,30,1125,2.0,1125.0,6,13,23,113,40.0,35.0,4.8,4.88,4.9,4.83,4.95,4.78,4.63,3.0,2.91
53,HomeAbroad Apartments,2019-03-20,"Andalusia, Spain",within an hour,90%,96%,f,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Este,Entire rental unit,Entire home/apt,$427.00,t,t,695050975333782507,250112582,39.0,42.0,36.72245,-4.4,6.0,2.0,4.0,1.0,1125,999,2.8,999.0,18,42,67,251,0.0,0.0,4.8,4.88,4.9,4.83,4.95,4.78,4.63,27.0,2.91
54,Jose Maria,2024-03-14,"Andalusia, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$177.00,t,t,1115674190031235701,567012379,2.0,2.0,36.720819828737255,-4.409207520044339,4.0,2.0,3.0,1.0,1125,1125,2.6,1125.0,0,0,2,125,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0.52
55,Clara,2017-05-25,"Málaga, Spain",within an hour,100%,100%,t,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$130.00,t,t,817126553731696180,131877957,10.0,11.0,36.7305179,-4.420751,6.0,2.0,5.0,1.0,1125,30,5.7,30.0,0,0,7,259,41.0,25.0,4.76,4.71,4.78,4.8,4.85,4.49,4.56,10.0,2.5
56,Francisco Javier,2014-05-10,"Málaga, Spain",within an hour,70%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire vacation home,Entire home/apt,$95.00,t,t,752523731216927771,15338230,2.0,4.0,36.71164,-4.42971,3.0,1.0,1.0,1.0,365,365,1.2,365.0,10,11,16,96,12.0,10.0,4.58,4.83,4.75,4.67,4.92,4.75,4.83,2.0,0.66
57,Comam,2014-08-13,"Málaga, Spain",within an hour,100%,99%,t,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Centro,Entire loft,Entire home/apt,$145.00,t,t,49374182,19957169,7.0,11.0,36.71079120716191,-4.42721417429652,2.0,1.0,1.0,1.0,1125,1125,6.2,1125.0,13,36,66,247,75.0,19.0,4.89,4.87,4.95,4.93,4.96,4.79,4.81,7.0,1.95
58,Pietro,2018-10-29,"Málaga, Spain",within an hour,100%,99%,f,Trafalgar,['phone'],t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$105.00,t,t,1139622492685125203,223186286,6.0,7.0,36.7,-4.434696027248418,5.0,3.0,0.0,1.0,1125,1125,1.3,952.9,3,10,27,40,3.0,3.0,5.0,4.67,5.0,5.0,5.0,4.67,4.67,6.0,1.58
59,Antonio.,2016-08-13,"Málaga, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Entire rental unit,Entire home/apt,$120.00,t,f,892506201848565033,89705945,61.0,86.0,36.70867170379477,-4.428608336644592,5.0,2.0,3.0,1.0,1125,1125,1.5,1094.8,20,50,80,159,48.0,9.1,4.69,4.67,4.83,4.69,4.73,4.88,4.69,60.0,3.71
60,Málaga De Vacaciones,2012-08-18,"Málaga, Spain",within an hour,97%,99%,f,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Spain",Este,Entire rental unit,Entire home/apt,$92.00,t,t,25481677,3298879,49.0,56.0,36.72297,-4.4,2.0,0.0,2.0,1.0,1125,1125,2.7,593.7,29,50,80,182,9.0,6.0,4.33,4.67,4.33,4.78,4.89,4.56,4.11,39.0,0.12
61,Jose Ignacio,2014-10-25,"Málaga, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Spain",Centro,Entire rental unit,Entire home/apt,$103.00,t,t,41130469,22947028,4.0,5.0,36.71927375006783,-4.409199208563612,2.0,1.0,1.0,2.0,31,31,2.0,31.0,5,32,54,155,68.0,31.0,4.9,4.96,4.88,4.93,4.87,4.96,4.79,3.0,2.73
62,Sebastian,2014-06-17,"Málaga, Spain",within a few hours,100%,96%,t,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Carretera de Cadiz,Private room in rental unit,Private room,$45.00,t,f,52470425,16899603,2.0,3.0,36.7,-4.44301,1.0,1.0,1.0,2.0,1125,1125,2.0,1125.0,0,0,8,258,60.0,26.0,4.97,4.92,4.93,4.93,4.93,4.78,4.78,2.0,1.8
63,Iñaki,2023-03-09,"Azpeitia, Spain",within an hour,67%,100%,f,Trafalgar,['phone'],t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$81.00,t,t,1182487044391392198,504611516,1.0,1.0,36.7274204,-4.411891,5.0,3.0,4.0,3.0,365,365,2.5,365.0,27,36,66,67,0.0,0.0,4.97,4.92,4.93,4.93,4.93,4.78,4.78,1.0,1.8
64,Francisco,2018-02-10,"San Diego, CA",within an hour,67%,100%,f,Trafalgar,"['email', 'phone']",t,t,"Málaga, Andalucía, Spain",Este,Entire condo,Entire home/apt,$225.00,t,f,693397692081572425,14451033,1.0,1.0,36.72322,-4.4,4.0,3.0,2.0,2.0,90,1125,2.6,1125.0,15,43,47,47,0.0,0.0,4.97,4.92,4.93,4.93,4.93,4.78,4.78,1.0,1.8
65,ÁngelayRaúl,2017-11-05,"Málaga, Spain",within an hour,100%,100%,f,Trafalgar,"['email', 'phone', 'work_email']",t,t,"Málaga, Andalucía, Spain",Centro,Entire rental unit,Entire home/apt,$106.00,t,t,43879707,157524315,10.0,11.0,36.73002,-4.42386,6.0,2.0,4.0,3.0,1125,1125,2.8,1125.0,14,34,64,339,46.0,11.0,4.67,4.72,4.72,4.89,4.89,4.2,4.61,8.0,0.97
