,host_response_rate,review_scores_cleanliness,price,number_of_reviews,number_of_reviews,review_scores_communication
121,1.0,5.0,356.9,5.0,5.0,5.0
122,1.0,4.34,194.0,10.0,10.0,4.86
123,0.9,4.6,182.0,16.0,16.0,5.0
124,1.0,4.47,139.0,10.0,10.0,4.79
125,1.0,4.53,350.0,17.0,17.0,4.88
126,1.0,5.0,200.0,10.0,10.0,5.0
127,1.0,5.0,356.9,1.0,1.0,5.0
128,1.0,4.38,236.0,10.0,10.0,4.89
129,0.93,4.34,124.0,54.0,54.0,4.83
130,1.0,4.9,115.0,10.0,10.0,4.89
131,1.0,4.58,183.0,10.0,10.0,4.91
132,1.0,4.54,115.0,43.0,43.0,4.93
133,1.0,4.75,356.9,4.0,4.0,5.0
134,1.0,5.0,200.0,2.0,2.0,5.0
135,1.0,4.63,183.0,10.0,10.0,4.9
136,1.0,4.86,442.0,7.0,7.0,5.0
137,1.0,4.88,190.0,35.0,35.0,4.76
138,1.0,4.9,172.0,10.0,10.0,4.75
139,1.0,4.92,200.0,10.0,10.0,4.89
140,1.0,4.93,175.0,10.0,10.0,4.96
141,1.0,4.93,359.0,0.0,0.0,4.96
142,1.0,4.91,119.0,10.0,10.0,4.97
143,1.0,4.9,150.0,10.0,10.0,5.0
144,1.0,4.96,669.0,10.0,10.0,4.99
145,1.0,4.78,904.0,10.0,10.0,4.96
146,1.0,4.89,356.9,10.0,10.0,4.96
147,1.0,4.8,369.0,10.0,10.0,4.9
148,1.0,4.96,518.0,27.0,27.0,4.96
149,1.0,5.0,500.0,2.0,2.0,5.0
150,1.0,4.76,289.0,10.0,10.0,4.86
151,1.0,4.76,1105.0,0.0,0.0,4.86
152,1.0,4.72,283.0,10.0,10.0,4.91
153,1.0,4.77,141.0,10.0,10.0,4.97
154,1.0,4.88,295.0,10.0,10.0,4.95
155,1.0,4.9,285.0,10.0,10.0,4.98
156,1.0,4.9,663.0,0.0,0.0,4.98
157,1.0,4.4,500.0,5.0,5.0,5.0
158,1.0,4.53,330.0,10.0,10.0,4.86
159,1.0,4.83,356.9,30.0,30.0,4.97
160,1.0,4.52,367.0,10.0,10.0,4.78
161,1.0,4.52,181.0,0.0,0.0,4.78
162,1.0,4.78,319.0,10.0,10.0,4.93
