Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.03961539,0.01631084,0.12200483,0.00513083,0.00452651,0.48936170,0.00000000,0.00000000,0.42215919,0.43577993,0.48486087,0.46994284,0.47952735,0.46340280,0.48532873,0.33778074,0.48972932,0.47785486,0.41260933,0.29898797,0.43004562,0.32212844,0.36400591,0.59763836,0.29110335,0.72735234,0.33030046,0.37845686,-1,-1,-1,-1
0.03379358,0.01984431,0.10666698,0.00118957,0.00631459,0.48936170,0.00000000,0.00000000,0.41767198,0.40749127,0.47269343,0.46328845,0.50091859,0.45076607,0.47661043,0.32723769,0.46312110,0.46723928,0.43125477,0.28950069,0.43915360,0.33083459,0.39543574,0.52763422,0.23079471,0.74415091,0.36413645,0.36241974,-1,-1,-1,-1
0.02405600,0.01295818,0.07477341,0.00153795,0.00765972,0.49240122,0.00781250,0.01333333,0.37149292,0.39437986,0.42214593,0.41613651,0.43935929,0.44244834,0.43613608,0.31443658,0.42327978,0.41303787,0.44292832,0.28749649,0.44681525,0.35646498,0.42428784,0.48272375,0.20153517,0.75763737,0.33673413,0.32157239,-1,-1,-1,-1
0.00962481,0.00387187,0.02991391,0.00113935,0.00612099,0.49240122,0.01562500,0.01333333,0.34996638,0.38106245,0.41066763,0.41098078,0.40589556,0.42975929,0.43142690,0.29584434,0.41257467,0.38829855,0.42012081,0.28411125,0.42130411,0.36793649,0.41615109,0.47143916,0.19951061,0.76887029,0.31535343,0.30602360,-1,-1,-1,-1
0.00496999,0.00379098,0.01540606,0.00099059,0.00554686,0.49240122,0.01562500,0.02666667,0.35390859,0.36390798,0.40250669,0.40264594,0.39957907,0.42414216,0.43519500,0.28962395,0.42498919,0.37792672,0.40572966,0.29343941,0.41011701,0.37943057,0.41688072,0.46764845,0.17688963,0.75058910,0.31432475,0.28543735,-1,-1,-1,-1
0.00248026,0.00672112,0.00770566,0.00073019,0.00454129,0.49240122,0.01562500,0.02666667,0.38148118,0.36675799,0.40051534,0.39758402,0.41945598,0.44111740,0.43824325,0.31315418,0.44572221,0.38560844,0.38839799,0.30413123,0.39389308,0.39122581,0.41623110,0.45831969,0.18062833,0.76438439,0.32146172,0.29346208,-1,-1,-1,-1
0.00000000,0.00000000,0.00000000,0.00061934,0.00411316,0.49240122,0.01562500,0.02666667,0.37761308,0.33017673,0.39019418,0.38558424,0.39869936,0.42624587,0.44422348,0.29823651,0.45488074,0.38569834,0.34192055,0.29175678,0.34737282,0.37372434,0.37895203,0.45088417,0.19345724,0.75559137,0.30136174,0.28025986,-1,-1,-1,-1
0.00011454,0.00254383,0.00082912,0.00031943,0.00295488,0.49240122,0.01562500,0.01333333,0.37630574,0.32837382,0.38970758,0.38458830,0.40011676,0.43102452,0.44699869,0.29296748,0.47878205,0.39702518,0.31747653,0.27940174,0.32541187,0.36273427,0.35844267,0.44423317,0.22141360,0.73454422,0.28620792,0.26406852,-1,-1,-1,-1
0.00827145,0.00791391,0.02779695,0.00003743,0.00186590,0.49240122,0.00781250,0.01333333,0.35397902,0.32367410,0.39570351,0.38487328,0.37259703,0.43135390,0.44837759,0.29759693,0.49844407,0.38934259,0.31837004,0.28841300,0.32998290,0.38182740,0.37370014,0.43348180,0.17606773,0.77665135,0.27961468,0.26551625,-1,-1,-1,-1
0.01104156,0.01102089,0.03643536,0.00000000,0.00172159,0.48936170,0.00000000,0.00000000,0.38552962,0.30145997,0.43359742,0.42388311,0.40451361,0.40864707,0.48927427,0.30084990,0.51822824,0.39886701,0.31899252,0.30043818,0.33675944,0.39478022,0.38386903,0.43974566,0.14057024,0.78776289,0.30732239,0.27792936,-1,-1,-1,-1
