,id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
1954,1044161384128625360,150814709,3,3,36.7189995,-4.3595757,7,3.0,4.0,6,365,365,5.9,365.0,1,1,21,201,0,0,4.8,5.0,4.8,5.0,5.0,5.0,5.0,3,3.41
1955,413063,2055304,1,1,36.720215,-4.42297,2,1.0,1.0,4,1125,1125,4.0,1125.0,6,24,35,310,34,12,4.64,4.65,4.62,4.82,4.68,4.91,4.39,1,0.24
1956,13592136,74965400,7,7,36.72427,-4.43486,2,1.0,2.0,1,30,1125,1.3,1125.0,0,1,6,6,43,2,4.6,4.86,4.84,4.84,4.79,4.53,4.72,7,0.45
1957,892106004496253737,382146507,72,72,36.71296,-4.43098,2,1.0,1.0,2,365,1125,2.3,1125.0,20,21,42,315,10,10,4.8,4.8,4.5,4.6,4.9,4.8,4.6,63,0.87
1958,22978847,80225433,239,416,36.72034,-4.42279,6,3.0,5.0,1,365,999,3.6,999.0,5,20,28,242,49,7,4.61,4.63,4.61,4.53,4.59,4.96,4.63,194,0.65
1959,660649939383392897,252333094,2,2,36.7137246,-4.4398574,12,4.0,7.0,2,365,1125,2.6,1125.0,7,11,28,298,47,24,4.85,4.83,4.68,4.89,4.89,4.64,4.77,2,2.11
1960,774463402070555619,341808994,2,3,36.70983,-4.44175,1,1.0,1.0,3,80,80,3.0,80.0,0,26,56,56,21,6,5.0,5.0,5.0,4.95,4.95,4.81,4.86,2,1.11
1961,965349322137054763,102987168,12,19,36.72459382255679,-4.436269340911937,4,2.0,3.0,1,365,365,1.0,365.0,21,30,34,264,4,4,3.75,4.5,4.5,4.5,4.5,4.25,3.75,12,0.39
1962,1100465034871774662,3376700,102,219,36.7222112,-4.3761448,14,7.0,9.0,1,365,365,1.0,365.0,27,57,87,360,0,0,3.75,4.5,4.5,4.5,4.5,4.25,3.75,68,0.39
1963,731238609827427842,382146507,72,72,36.6932292,-4.4437384,4,2.0,3.0,2,1125,1125,2.3,1125.0,6,16,43,301,12,7,5.0,5.0,4.92,4.92,5.0,4.75,4.83,63,0.57
1964,10513244,54205259,1,1,36.70853,-4.43253,4,3.0,4.0,3,730,730,3.7,730.0,22,33,63,338,24,0,4.92,4.92,4.96,4.91,4.91,4.48,4.7,1,0.28
1965,18447178,9678471,13,25,36.72273,-4.37836,3,1.0,2.0,3,1125,1125,4.0,1125.0,29,52,59,318,54,2,4.76,4.7,4.89,4.78,4.8,4.8,4.56,12,0.62
1966,23225280,169822359,3,3,36.70234,-4.43419,5,3.0,3.0,1,1125,1125,1.0,1125.0,0,0,0,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,0.01
1967,1175299652282277606,3473106,1,1,36.71221925392032,-4.43429561562504,3,2.0,3.0,6,15,15,5.6,15.0,21,51,81,261,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1.0
1968,832419148410236071,502265417,1,1,36.72125049837213,-4.360191194437309,12,4.0,5.0,1,365,365,3.1,365.0,20,27,51,326,9,9,4.67,4.78,4.56,5.0,4.78,4.78,4.44,1,0.81
1969,1073973578733784271,382146507,72,72,36.6983723,-4.4377532,2,1.0,1.0,2,1125,1125,2.3,1125.0,4,8,23,289,2,2,5.0,5.0,5.0,5.0,5.0,4.5,5.0,63,0.6
1970,42483808,120849981,1,1,36.72766,-4.42024,2,1.0,1.0,20,1125,1125,20.0,1125.0,2,4,6,162,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0.02
1971,817383780968731667,133533352,5,5,36.73225,-4.41962,4,1.0,1.0,5,730,730,3.9,730.0,7,9,27,297,3,1,5.0,5.0,5.0,4.67,5.0,4.67,5.0,5,0.2
1972,1155250770069400098,102987168,12,19,36.70908097131161,-4.441367036691814,2,1.0,1.0,1,365,365,1.0,365.0,22,51,81,261,5,5,4.8,5.0,5.0,4.8,4.8,4.6,5.0,12,3.26
1973,1014317107497702384,517907328,5,6,36.710518872096,-4.43074107170105,3,1.0,2.0,1,365,365,1.0,365.0,1,4,21,78,61,61,4.28,4.43,4.1,4.66,4.69,4.72,4.39,5,7.59
1974,15140182,96011181,1,1,36.72988,-4.41935,4,2.0,3.0,3,1125,1125,3.0,1125.0,0,2,2,94,55,0,4.95,5.0,4.98,4.98,4.96,4.54,4.96,1,0.59
1975,942451295283913094,24525026,39,44,36.70906120000001,-4.4320618,2,1.0,1.0,1,365,365,1.0,365.0,1,4,29,304,35,35,4.46,4.59,4.21,4.65,4.79,4.62,4.59,39,3.09
1976,50791180,244594333,1,1,36.731716,-4.413499,4,2.0,3.0,1,1125,1125,1.0,1125.0,1,7,24,113,5,1,4.4,4.8,4.8,4.8,4.2,4.2,4.4,1,0.2
1977,20586709,145604096,2,2,36.71982,-4.41094,2,1.0,2.0,2,1125,1125,2.0,1125.0,3,3,26,26,105,19,4.73,4.81,4.4,4.74,4.76,4.92,4.7,2,1.26
1978,18989210,132464123,7,8,36.72448,-4.43222,2,1.0,1.0,3,35,1125,3.0,1125.0,2,32,62,141,187,16,4.65,4.7,4.79,4.81,4.82,4.39,4.66,6,2.17
1979,50308204,142091708,3,10,36.72563,-4.42154,4,2.0,3.0,6,15,15,6.0,15.0,6,6,14,289,13,4,4.38,4.46,4.31,4.31,4.38,4.23,4.15,1,0.36
1980,1184059078872545716,579350840,443,490,36.7125909,-4.4383747,4,2.0,3.0,1,365,365,1.0,309.3,29,59,89,364,0,0,4.38,4.46,4.31,4.31,4.38,4.23,4.15,7,0.36
1981,1007314163135813374,13779044,1,2,36.71831619396468,-4.4342579416429295,2,0.0,0.0,10,365,365,9.5,365.0,20,22,22,90,0,0,4.38,4.46,4.31,4.31,4.38,4.23,4.15,1,0.36
1982,19462723,100820229,5,6,36.72711,-4.44246,6,4.0,6.0,3,28,1125,3.0,1125.0,20,47,50,50,9,5,4.56,4.88,4.67,4.5,4.88,4.13,4.75,1,0.11
1983,668976242420604964,102987168,12,19,36.70994,-4.43511,4,0.0,5.0,1,365,1125,1.0,1125.0,11,23,39,300,9,0,3.89,4.11,4.33,4.67,4.56,4.78,3.67,12,0.4
1984,1153587988140374587,102906432,11,17,36.73035543726382,-4.420841849708828,2,1.0,0.0,3,60,1125,3.0,1125.0,3,19,36,100,2,2,4.5,5.0,4.5,5.0,5.0,4.0,4.5,9,1.71
1985,53121740,14498345,5,5,36.72884,-4.43034,2,1.0,1.0,1,90,1125,3.7,1125.0,1,2,13,96,105,33,4.88,4.9,4.91,4.94,4.93,4.74,4.84,4,3.38
1986,28603201,80225433,239,416,36.71717,-4.42205,4,2.0,3.0,1,365,999,3.7,999.0,5,12,30,298,5,1,4.4,4.6,4.2,4.8,4.6,4.8,4.2,194,0.19
1987,50429980,187050772,416,912,36.72661,-4.3609471,5,3.0,4.0,1,1125,1125,1.0,181.0,29,54,84,359,5,0,4.8,4.8,4.8,5.0,5.0,5.0,4.6,1,0.14
1988,587505548438918728,69934176,3,8,36.72864,-4.40964,2,1.0,1.0,1,90,90,1.0,90.0,1,3,3,3,68,49,4.88,4.85,4.9,4.82,4.93,4.71,4.84,3,3.21
1989,648415267765469502,354248735,30,30,36.73112,-4.42288,4,0.0,2.0,1,1125,1125,1.7,633.7,29,47,77,173,0,0,4.88,4.85,4.9,4.82,4.93,4.71,4.84,20,3.21
1990,1025776813923745363,545041476,6,6,36.71007484881297,-4.428526148685102,2,0.0,1.0,1,365,365,1.0,365.0,30,59,89,364,0,0,4.88,4.85,4.9,4.82,4.93,4.71,4.84,6,3.21
1991,716391905860870372,204933401,1,1,36.73226,-4.56597,2,1.0,1.0,1,1125,1125,1.0,1125.0,27,56,86,336,79,48,4.77,4.86,4.81,4.89,4.9,4.58,4.58,1,4.17
1992,1025850093122246336,545041476,6,6,36.7094287,-4.4294619,1,1.0,1.0,1,365,365,1.0,365.0,30,60,90,365,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6,1.28
1993,1071770893973152603,552865894,4,4,36.7128757,-4.435633699999999,5,3.0,0.0,2,180,180,2.1,180.0,8,27,27,27,10,10,4.9,4.8,4.6,4.6,4.9,4.8,4.8,3,2.24
1994,871520993113298764,54943010,1,2,36.73265671464005,-4.41350815092621,5,3.0,0.0,2,365,365,2.1,365.0,4,5,21,234,7,7,5.0,5.0,5.0,5.0,4.86,4.71,5.0,1,0.58
1995,24848224,132464123,7,8,36.71092,-4.43736,2,1.0,1.0,3,45,1125,3.0,1125.0,19,44,74,153,80,24,4.64,4.69,4.68,4.84,4.86,4.58,4.59,6,1.08
1996,768037284917339508,123233180,5,9,36.72054,-4.43195,2,1.0,2.0,2,365,1125,2.0,1125.0,4,6,30,305,60,38,4.75,4.65,4.58,4.8,4.83,4.75,4.57,5,3.1
1997,1124693629194485387,89705945,61,86,36.71826842478109,-4.4115903643947405,4,1.0,2.0,2,365,444,2.1,372.2,6,33,63,243,11,11,4.91,4.73,5.0,5.0,5.0,4.91,4.55,60,4.93
