Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.11671430,0.09660532,0.28406016,0.09361972,0.00351077,0.61481481,0.04878049,0.05555556,0.37538611,0.21393278,0.32202270,0.24115171,0.36961925,0.25918945,0.23709888,0.28749169,0.66701403,0.68978313,0.29282675,0.07365970,0.31108068,0.05578237,0.16325737,0.23430320,0.11209661,0.94737898,0.53420560,0.36028169,-1,-1,-1,-1
0.06969044,0.10875703,0.15445537,0.07824122,0.00230562,0.61481481,0.02439024,0.05555556,0.36936590,0.24072630,0.34487858,0.26116141,0.38142958,0.26998913,0.25082631,0.31648757,0.67750391,0.68925261,0.27426629,0.08210481,0.29579458,0.06471985,0.16344352,0.22320582,0.10980060,0.95348276,0.52525608,0.37688653,-1,-1,-1,-1
0.06173793,0.09578280,0.17499289,0.06270045,0.00407840,0.60740741,0.02439024,0.05555556,0.39369925,0.27368855,0.38025193,0.29371005,0.43007011,0.28791499,0.26159828,0.36498263,0.69064272,0.68846593,0.27087229,0.09123887,0.29547078,0.07994826,0.17507610,0.21572392,0.09677529,0.97258965,0.53632931,0.42022092,-1,-1,-1,-1
0.07948913,0.05274760,0.21743315,0.07187679,0.00572891,0.60000000,0.02439024,0.02777778,0.42076546,0.31438853,0.44360267,0.34617998,0.48747237,0.31634778,0.31286259,0.41718340,0.73631344,0.71796062,0.25612537,0.10955788,0.28340126,0.10644303,0.18865463,0.20835041,0.11030537,0.95869000,0.56363183,0.50119287,-1,-1,-1,-1
0.05894224,0.02357198,0.18906205,0.04474211,0.00518826,0.59259259,0.00000000,0.00000000,0.44045265,0.32938854,0.47431765,0.37847438,0.52558606,0.33731590,0.37646700,0.45220308,0.73893222,0.69599178,0.23706630,0.12063527,0.25108538,0.12418185,0.18132069,0.21759514,0.12788415,0.93465969,0.56746239,0.54199367,-1,-1,-1,-1
0.06422877,0.04697844,0.22546995,0.03319350,0.00499195,0.59259259,0.00000000,0.00000000,0.41228203,0.31318728,0.44998868,0.36766890,0.50907333,0.31621116,0.36612745,0.44837748,0.69936124,0.65486392,0.24832410,0.11184435,0.25614772,0.12249999,0.18466675,0.20978196,0.19053703,0.85736851,0.52378073,0.48626159,-1,-1,-1,-1
0.09458819,0.06018725,0.20958171,0.07736690,0.00487736,0.59259259,0.00000000,0.00000000,0.36761600,0.29004439,0.38867198,0.32637754,0.47214607,0.29905079,0.32752048,0.42438864,0.60978472,0.58228554,0.27080064,0.09463588,0.25714837,0.10989504,0.17712261,0.21729143,0.20570144,0.80910544,0.51968283,0.44190164,-1,-1,-1,-1
0.13424172,0.06052458,0.16808177,0.15223866,0.00559047,0.60000000,0.02439024,0.02777778,0.32562634,0.24897201,0.34158771,0.29300649,0.42424578,0.26691282,0.31214373,0.38339546,0.57326021,0.56358744,0.27505493,0.08119422,0.26197057,0.09065394,0.16270611,0.22655840,0.23532581,0.77702924,0.50684150,0.40399420,-1,-1,-1,-1
0.12531717,0.06280586,0.15254824,0.14048062,0.00516375,0.60000000,0.04878049,0.02777778,0.32717810,0.25663978,0.33651266,0.29088040,0.42758745,0.27479493,0.31242749,0.37348285,0.53023627,0.53352098,0.28461554,0.06487923,0.25228706,0.08516626,0.15169781,0.23313149,0.25771784,0.73955510,0.49731434,0.38570989,-1,-1,-1,-1
0.19168980,0.08436115,0.31498868,0.16393433,0.00515035,0.60000000,0.04878049,0.05555556,0.25741120,0.21797744,0.31000909,0.27108196,0.37989116,0.22474676,0.24802036,0.31667803,0.52795867,0.55263920,0.31233482,0.05419673,0.26974938,0.07853632,0.16233920,0.22333953,0.24431930,0.73195592,0.51029266,0.38284514,-1,-1,-1,-1
0.15922922,0.13266107,0.31074890,0.12221574,0.00314095,0.60000000,0.04878049,0.02777778,0.23580679,0.20867231,0.33730364,0.29265642,0.37463255,0.21783644,0.25091097,0.29235625,0.53530297,0.57686180,0.30294561,0.05227989,0.24676228,0.08669001,0.15222448,0.23236841,0.19864443,0.79284288,0.55256762,0.45752581,-1,-1,-1,-1
0.11516019,0.11450522,0.33628363,0.05197683,0.00147453,0.60000000,0.02439024,0.02777778,0.23959688,0.17655353,0.32949864,0.28827691,0.36999335,0.19138204,0.24526182,0.26053457,0.53716730,0.57843055,0.25622682,0.04878368,0.19372173,0.08637663,0.11927209,0.23293679,0.18041304,0.83321644,0.55403257,0.49889487,-1,-1,-1,-1
0.08439267,0.08366568,0.26053786,0.04181416,0.00144667,0.59259259,0.00000000,0.00000000,0.21960180,0.15832884,0.30080788,0.26830572,0.35111991,0.17424602,0.20174325,0.23287558,0.49744583,0.53338919,0.24434820,0.04944088,0.16349459,0.09132995,0.11018835,0.22849233,0.16004929,0.84882260,0.54986065,0.51243099,-1,-1,-1,-1
0.03526448,0.04492706,0.11208469,0.04753789,0.00360430,0.59259259,0.00000000,0.00000000,0.15435208,0.09497024,0.22747586,0.21253549,0.28612163,0.11721721,0.12501336,0.17570623,0.49362586,0.52858251,0.25538679,0.04995614,0.18777890,0.07755882,0.11985010,0.21320875,0.11619629,0.89017277,0.53132395,0.47938665,-1,-1,-1,-1
0.03600810,0.05835617,0.14172495,0.03033660,0.00363695,0.59259259,0.00000000,0.00000000,0.22830794,0.11744128,0.27367521,0.25468898,0.35151073,0.15557166,0.21459338,0.22592586,0.47694844,0.48277701,0.27056546,0.06918360,0.22565929,0.08425453,0.14523793,0.22003963,0.09224301,0.90058429,0.58636333,0.51085652,-1,-1,-1,-1
0.04506796,0.05990137,0.16560318,0.03222641,0.00365185,0.59259259,0.00000000,0.00000000,0.29027577,0.15092340,0.31292573,0.27892425,0.40280571,0.19125970,0.25669870,0.27702607,0.49381780,0.46174218,0.26173104,0.07756827,0.22431617,0.08651475,0.14602674,0.22233384,0.07248727,0.87309585,0.62517881,0.49269585,-1,-1,-1,-1
0.06786599,0.03327449,0.21702857,0.04592607,0.00366291,0.60000000,0.02439024,0.02777778,0.32144456,0.17949235,0.36781749,0.31953814,0.43639271,0.23640779,0.32987854,0.32183917,0.56036649,0.47232093,0.29690462,0.12024299,0.27193701,0.12383600,0.20638026,0.22009844,0.07132492,0.84663489,0.64485509,0.48960877,-1,-1,-1,-1
0.08027456,0.03051758,0.25829328,0.04610510,0.00139678,0.60000000,0.04878049,0.02777778,0.29288671,0.16414547,0.33950135,0.30398871,0.41472563,0.22714856,0.31588312,0.32183993,0.52503730,0.42478666,0.29403625,0.11630373,0.26421759,0.12232118,0.20115689,0.21934373,0.06265718,0.81969640,0.61544698,0.41715555,-1,-1,-1,-1
0.13636515,0.03344533,0.31213937,0.12418653,0.00084811,0.60740741,0.07317073,0.02777778,0.29711698,0.17744429,0.36108436,0.32916936,0.42563951,0.25393694,0.36218999,0.35191271,0.50323153,0.38628949,0.28167540,0.11771661,0.24638571,0.12488943,0.18709060,0.23916029,0.10881582,0.78038609,0.58598352,0.39101969,-1,-1,-1,-1
0.13132028,0.07219454,0.29550479,0.12623489,0.00000000,0.60740741,0.09756098,0.00000000,0.25458125,0.17676836,0.30355299,0.28301111,0.37455558,0.24992863,0.29617644,0.33979708,0.50228162,0.39606170,0.26917267,0.11215441,0.21005668,0.12280638,0.16481016,0.24806318,0.14112007,0.75481751,0.50747610,0.32527977,-1,-1,-1,-1
0.13065967,0.05613101,0.30132532,0.11213932,0.00085569,0.60740741,0.07317073,0.02777778,0.23113919,0.19986948,0.28595697,0.27799242,0.34282256,0.27465875,0.32043583,0.35173766,0.51957786,0.43566218,0.26521232,0.12726792,0.19803879,0.13420188,0.16425493,0.26479794,0.18720654,0.73443574,0.44697941,0.31413403,-1,-1,-1,-1
0.10219504,0.04441772,0.23197463,0.09701524,0.00172341,0.60000000,0.04878049,0.02777778,0.23715373,0.20270636,0.24610339,0.25506463,0.34850472,0.26414410,0.28427681,0.36544217,0.45546865,0.43050637,0.24266779,0.11846351,0.17586860,0.12348506,0.13898034,0.27238080,0.19738377,0.75677719,0.40833511,0.29697205,-1,-1,-1,-1
0.06205892,0.01202490,0.20961065,0.03719372,0.00373396,0.60000000,0.02439024,0.02777778,0.28093276,0.25260275,0.27469618,0.27367822,0.38206136,0.31581996,0.30370671,0.40436125,0.46076452,0.45048834,0.22348758,0.12534127,0.16076572,0.13497371,0.13587190,0.27218132,0.24496388,0.75334330,0.37745257,0.32524971,-1,-1,-1,-1
0.05329251,0.02109069,0.19486719,0.02669224,0.00685318,0.59259259,0.00000000,0.00000000,0.30877734,0.27470578,0.27369388,0.27132514,0.39375111,0.33430538,0.30471747,0.42471515,0.42822299,0.43703662,0.21245529,0.13810645,0.15111260,0.15172589,0.14612593,0.25847923,0.25662589,0.75610437,0.38833036,0.34615675,-1,-1,-1,-1
0.07954163,0.04881694,0.22025598,0.07444794,0.00640561,0.59259259,0.00000000,0.00000000,0.33558479,0.34335391,0.28600589,0.28201989,0.42735673,0.39076034,0.31934050,0.47212429,0.45740731,0.48073709,0.23981859,0.13994423,0.18513136,0.16363112,0.17196351,0.25585705,0.26819166,0.76319566,0.42851404,0.42864386,-1,-1,-1,-1
0.08100108,0.07033202,0.19634634,0.08263423,0.00600472,0.60000000,0.02439024,0.02777778,0.37972023,0.33982263,0.29350124,0.29343987,0.47593744,0.39340913,0.30360850,0.47138009,0.41478399,0.45448451,0.26805724,0.13304668,0.22605033,0.16118716,0.19651222,0.23450503,0.28436293,0.80850473,0.40416527,0.47504617,-1,-1,-1,-1
0.08294916,0.06697286,0.13095709,0.10585370,0.00515683,0.60000000,0.04878049,0.02777778,0.40040438,0.35636818,0.32824238,0.32458834,0.49916444,0.41894471,0.33144280,0.46663934,0.42671862,0.46362813,0.28998834,0.11957458,0.25401582,0.15031923,0.20482945,0.22341857,0.31846818,0.80258010,0.38064031,0.49061625,-1,-1,-1,-1
0.09901219,0.03376899,0.17469669,0.09964472,0.00223638,0.60000000,0.04878049,0.05555556,0.44223675,0.38130566,0.38361154,0.37601498,0.55165493,0.43786093,0.39642946,0.48692763,0.46356979,0.50165348,0.33417365,0.12265585,0.30831052,0.15024393,0.23728045,0.21963568,0.31403527,0.81207977,0.40349459,0.53560017,-1,-1,-1,-1
