Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.03846683,0.04999754,0.07623797,0.04115159,0.00146851,0.55492424,0.03448276,0.01734104,0.46726060,0.35486959,0.49944405,0.45045008,0.54157682,0.36987204,0.45834840,0.45226312,0.51235081,0.53028364,0.50616165,0.31017176,0.52849604,0.27380790,0.39682995,0.66553384,0.51917766,0.65882047,0.45581344,0.42623319,-1,-1,-1,-1
0.04132531,0.05411213,0.04234124,0.06659924,0.00676766,0.55303030,0.04022989,0.01734104,0.45266771,0.34979904,0.47477676,0.42149725,0.52514276,0.35966633,0.43045084,0.44623960,0.50882398,0.52870939,0.50994782,0.31974584,0.52796155,0.28987395,0.42139036,0.62869088,0.54705132,0.64982069,0.45555968,0.42087280,-1,-1,-1,-1
0.05385483,0.03722847,0.05975184,0.08317063,0.01120589,0.55303030,0.04597701,0.01734104,0.45554548,0.35309040,0.48428973,0.43284090,0.52228448,0.36556274,0.45317999,0.45842064,0.50085809,0.52735308,0.49625209,0.30137123,0.51175928,0.29135659,0.41761877,0.59806670,0.58491439,0.61429987,0.46219100,0.41836422,-1,-1,-1,-1
0.05704779,0.02398953,0.06365841,0.08931311,0.01355996,0.55303030,0.04597701,0.01734104,0.48252338,0.34559090,0.48625948,0.44361390,0.53967279,0.35341854,0.46880064,0.47133318,0.49041481,0.51937513,0.49354999,0.30734069,0.52306751,0.30275075,0.43701516,0.57335227,0.61154195,0.56335845,0.46286069,0.40140270,-1,-1,-1,-1
0.06949787,0.03183398,0.06351963,0.10760714,0.01282291,0.55303030,0.04022989,0.01156069,0.46301515,0.32965306,0.47623170,0.44164266,0.51177917,0.34041338,0.46456830,0.46268455,0.48469198,0.51644397,0.50186985,0.30419977,0.54029033,0.29824129,0.44478237,0.56354635,0.64902704,0.51673708,0.46178094,0.37980105,-1,-1,-1,-1
0.09141229,0.03221254,0.06123000,0.14352364,0.01654601,0.55492424,0.04022989,0.00578035,0.47794936,0.35745114,0.49230666,0.45730531,0.51424647,0.35912707,0.46696835,0.47179118,0.48843551,0.52869841,0.52642759,0.31252572,0.57566801,0.30422424,0.46842440,0.56203853,0.66849545,0.49499229,0.49879587,0.38925062,-1,-1,-1,-1
0.10057844,0.03174306,0.07981896,0.14935868,0.01667891,0.55681818,0.03448276,0.00578035,0.48899650,0.34622793,0.49844800,0.47577059,0.52754513,0.34646737,0.47923522,0.46684401,0.48418447,0.52860344,0.52054692,0.30972230,0.56936322,0.30546976,0.46384478,0.55249233,0.68063639,0.45027221,0.53353399,0.38703043,-1,-1,-1,-1
0.13452004,0.05213024,0.06738418,0.20315957,0.02022759,0.55492424,0.03448276,0.01156069,0.50635863,0.36996107,0.52618113,0.51278701,0.53906504,0.36767458,0.50062796,0.49562409,0.50772558,0.55516553,0.56052168,0.32333407,0.61706138,0.31616566,0.49611803,0.56235120,0.77050710,0.41623550,0.57996182,0.45140094,-1,-1,-1,-1
0.15372421,0.06856779,0.08405429,0.23244095,0.02232013,0.55681818,0.03448276,0.01156069,0.53523885,0.37246469,0.54670122,0.54062942,0.56075456,0.36727423,0.51902597,0.51117611,0.52953423,0.58149499,0.57868870,0.31425809,0.63536347,0.30836981,0.50062594,0.55894848,0.81914941,0.39152199,0.58638920,0.48868663,-1,-1,-1,-1
0.17869070,0.05953123,0.13661589,0.24382656,0.02216977,0.55492424,0.03448276,0.01156069,0.56310644,0.40047081,0.60956584,0.60401655,0.58355432,0.38175314,0.55498685,0.53351476,0.57488585,0.60929420,0.59673083,0.30377049,0.65530967,0.30270453,0.50004095,0.57511561,0.85095336,0.41061442,0.60869579,0.54717242,-1,-1,-1,-1
0.18475584,0.05995274,0.14150520,0.25150829,0.02801197,0.55492424,0.02873563,0.01734104,0.62457372,0.42737846,0.65019674,0.64551512,0.62124163,0.39791917,0.59063686,0.56697653,0.59284759,0.63004085,0.60761327,0.30361681,0.66780388,0.29836833,0.50731590,0.56432131,0.87160020,0.40911172,0.61342529,0.56313045,-1,-1,-1,-1
0.19260075,0.07086483,0.13989921,0.26280264,0.02347241,0.55113636,0.02873563,0.02312139,0.64535476,0.42384059,0.65768587,0.66237119,0.64183826,0.39133913,0.60646630,0.57549853,0.60783874,0.63489744,0.61600748,0.29048930,0.67577750,0.28976532,0.50597912,0.55610720,0.87894933,0.43078028,0.60340961,0.56997899,-1,-1,-1,-1
0.23756360,0.11257552,0.15455087,0.33177579,0.02249783,0.55113636,0.02873563,0.01734104,0.67833853,0.43256827,0.68221631,0.68489943,0.67224555,0.38729820,0.62667668,0.58475319,0.64635445,0.66979277,0.62381745,0.29274874,0.68742132,0.30011182,0.51388480,0.56458698,0.88816362,0.43763841,0.61819862,0.61510868,-1,-1,-1,-1
0.24642261,0.13869149,0.14955034,0.35635844,0.02027559,0.55113636,0.03448276,0.01734104,0.69973918,0.43045017,0.65399828,0.64920117,0.69275469,0.37794613,0.59942303,0.57930151,0.66636281,0.68491871,0.62505913,0.29256241,0.67835572,0.29928329,0.51266459,0.55527093,0.88941358,0.45169089,0.61938912,0.63011129,-1,-1,-1,-1
